MIMIC III ITEMID,MIMIC III LABEL,MIMIC III FLUID,MIMIC III CATEGORY,MIMIC III LOINC CODE,MIMIC II LOINC CODE,MIMIC II LOINC DESCRIPTION,MIMIC II ITEMID,COMMENTS
51520,ANTI-MC,BLOOD,CHEMISTRY,,32042-4,Thyroperoxidase Ab [Presence] in Serum,50069,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
50871,ANTI-MITOCHONDRIAL ANTIBODY,BLOOD,CHEMISTRY,,14236-4,Mitochondria Ab [Presence] in Serum,50063,possible mismatch
50872,ANTI-NEUTROPHIL CYTOPLASMIC ANTIBODY,BLOOD,CHEMISTRY,,35279-9,Neutrophil cytoplasmic Ab [Presence] in Serum by Immunofluorescence,50067,
50873,ANTI-NUCLEAR ANTIBODY,BLOOD,CHEMISTRY,5047-6,8061-4,Nuclear Ab [Presence] in Serum,50066,
50874,"ANTI-NUCLEAR ANTIBODY, TITER",BLOOD,CHEMISTRY,8061-4,5048-4,Nuclear Ab [Titer] in Serum by Immunofluorescence,50168,
50875,ANTI-PARIETAL CELL ANTIBODY,BLOOD,CHEMISTRY,,26969-6,Parietal cell Ab [Presence] in Serum by Immunofluorescence,50155,
50876,ANTI-SMOOTH MUSCLE ANTIBODY,BLOOD,CHEMISTRY,,14252-1,Smooth muscle Ab [Presence] in Serum,50161,
50877,ANTI-THYROGLOBULIN ANTIBODIES,BLOOD,CHEMISTRY,5380-1,8098-6,Thyroglobulin Ab [Units/volume] in Serum,50070,
51138,ANTICARDIOLIPIN ANTIBODY IGG,BLOOD,HEMATOLOGY,,8065-5,Cardiolipin IgG Ab [Units/volume] in Serum,50322,
51139,ANTICARDIOLIPIN ANTIBODY IGM,BLOOD,HEMATOLOGY,,3182-3,Cardiolipin IgM Ab [Units/volume] in Serum by Immunoassay,50323,
51140,ANTITHROMBIN,BLOOD,HEMATOLOGY,,27811-9,Antithrombin actual/normal in Platelet poor plasma by Chromogenic method,50330,
51141,APT TEST,BLOOD,HEMATOLOGY,,,,50328,
51142,ARACHADONIC ACID,BLOOD,HEMATOLOGY,,,,50329,
50878,ASPARATE AMINOTRANSFERASE (AST),BLOOD,CHEMISTRY,1920-8,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,50073,
51110,ATYPICAL LYMPHOCYTES,ASCITES,HEMATOLOGY,,33369-0,Lymphocytes Variant/100 leukocytes in Peritoneal fluid,50298,
51143,ATYPICAL LYMPHOCYTES,BLOOD,HEMATOLOGY,733-6,13046-8,Lymphocytes Variant/100 leukocytes in Blood,50331,
51343,ATYPICAL LYMPHOCYTES,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,30416-2,Lymphocytes Variant/100 leukocytes in Cerebral spinal fluid,50509,
51365,ATYPICAL LYMPHOCYTES,JOINT FLUID,HEMATOLOGY,,33371-6,Lymphocytes Variant/100 leukocytes in Synovial fluid,50529,
51385,ATYPICAL LYMPHOCYTES,OTHER BODY FLUID,HEMATOLOGY,,30417-0,Lymphocytes Variant/100 leukocytes in Body fluid,50549,
51440,ATYPICAL LYMPHOCYTES,PLEURAL,HEMATOLOGY,,33370-8,Lymphocytes Variant/100 leukocytes in Pleural fluid,50600,
51463,BACTERIA,URINE,HEMATOLOGY,5769-5,25145-4,Bacteria [Presence] in Urine sediment by Light microscopy,50624,
51111,BANDS,ASCITES,HEMATOLOGY,,,,50299,
51144,BANDS,BLOOD,HEMATOLOGY,763-3,26508-2,Neutrophils.band form/100 leukocytes in Blood,50332,
51344,BANDS,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,26509-0,Neutrophils.band form/100 leukocytes in Cerebral spinal fluid,50510,
51366,BANDS,JOINT FLUID,HEMATOLOGY,,33361-7,Neutrophils.band form/100 leukocytes in Synovial fluid,50530,
51386,BANDS,OTHER BODY FLUID,HEMATOLOGY,,26510-8,Neutrophils.band form/100 leukocytes in Body fluid,50550,
51441,BANDS,PLEURAL,HEMATOLOGY,,,,50601,
50879,BARBITURATE SCREEN,BLOOD,CHEMISTRY,,3376-1,"Barbiturates [Presence] in Serum, Plasma or Blood",50186,
51074,"BARBITURATE SCREEN, URINE",URINE,CHEMISTRY,3377-9,3377-9,Barbiturates [Presence] in Urine,50290,
50802,BASE EXCESS,BLOOD,BLOOD GAS,,11555-0,Base excess in Blood,50002,
51145,BASOPHILIC STIPPLING,BLOOD,HEMATOLOGY,703-9,703-9,Basophilic stippling [Presence] in Blood by Light microscopy,50456,
51112,BASOPHILS,ASCITES,HEMATOLOGY,,35069-4,Basophils/100 leukocytes in Peritoneal fluid,50300,
51146,BASOPHILS,BLOOD,HEMATOLOGY,704-7,30180-4,Basophils/100 leukocytes in Blood,50333,
51345,BASOPHILS,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,30374-3,Basophils/100 leukocytes in Cerebral spinal fluid,50511,
51367,BASOPHILS,JOINT FLUID,HEMATOLOGY,,17833-5,Basophils/100 leukocytes in Synovial fluid,50531,
51387,BASOPHILS,OTHER BODY FLUID,HEMATOLOGY,,28543-7,Basophils/100 leukocytes in Body fluid,50551,
51442,BASOPHILS,PLEURAL,HEMATOLOGY,,35070-2,Basophils/100 leukocytes in Pleural fluid,50602,
50880,BENZODIAZEPINE SCREEN,BLOOD,CHEMISTRY,,42662-7,Benzodiazepines [Presence] in Blood,50187,
51075,"BENZODIAZEPINE SCREEN, URINE",URINE,CHEMISTRY,,3390-2,Benzodiazepines [Presence] in Urine,50291,
50881,BETA-2 MICROGLOBULIN,BLOOD,CHEMISTRY,,32731-2,Beta 2 globulin [Mass/volume] in Serum or Plasma by Electrophoresis,50185,
50882,BICARBONATE,BLOOD,CHEMISTRY,1963-8,1963-8,Bicarbonate [Moles/volume] in Serum,50172,
50837,"BICARBONATE, ASCITES",ASCITES,CHEMISTRY,,54360-3,Bicarbonate [Moles/volume] in Peritoneal fluid,50041,
51027,"BICARBONATE, OTHER FLUID",OTHER BODY FLUID,CHEMISTRY,,11211-0,"Carbon dioxide, total [Moles/volume] in Body fluid",50230,"LOINC code from old data probably wrong, should be bicarbonate"
51048,"BICARBONATE, PLEURAL",PLEURAL,CHEMISTRY,,54361-1,Bicarbonate [Moles/volume] in Pleural fluid,50238,
51061,"BICARBONATE, STOOL",STOOL,CHEMISTRY,,14040-0,"Carbon dioxide, total [Moles/volume] in Stool",50249,"LOINC code from old data probably wrong, should be bicarbonate"
51076,"BICARBONATE, URINE",URINE,CHEMISTRY,1964-6,13538-4,"Carbon dioxide, total [Moles/volume] in Urine",50279,
51464,BILIRUBIN,URINE,HEMATOLOGY,5770-3,1977-8,Bilirubin [Presence] in Urine,50626,
51465,BILIRUBIN CRYSTALS,URINE,HEMATOLOGY,5771-1,5771-1,Bilirubin crystals [Presence] in Urine sediment by Light microscopy,50625,
50883,"BILIRUBIN, DIRECT",BLOOD,CHEMISTRY,1968-7,1968-7,Direct bilirubin [Mass/volume] in Serum or Plasma,50096,
50884,"BILIRUBIN, INDIRECT",BLOOD,CHEMISTRY,1971-1,1971-1,Indirect bilirubin [Mass/volume] in Serum or Plasma,50127,
50885,"BILIRUBIN, TOTAL",BLOOD,CHEMISTRY,1975-2,1975-2,Bilirubin [Mass/volume] in Serum or Plasma,50170,
50838,"BILIRUBIN, TOTAL, ASCITES",ASCITES,CHEMISTRY,,14422-0,Bilirubin [Mass/volume] in Peritoneal fluid,50050,
51028,"BILIRUBIN, TOTAL, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,1974-5,Bilirubin [Mass/volume] in Body fluid,50228,
51012,"BILIRUBIN, TOTAL, CSF",CEREBROSPINAL FLUID (CSF),CHEMISTRY,,1973-7,Bilirubin [Mass/volume] in Cerebral spinal fluid,50205,
51049,"BILIRUBIN, TOTAL, PLEURAL",PLEURAL,CHEMISTRY,,14421-2,Bilirubin [Mass/volume] in Pleural fluid,50245,
51147,BITE CELLS,BLOOD,HEMATOLOGY,10371-3,10371-3,Bite cells [Presence] in Blood by Light microscopy,50334,
51113,BLASTS,ASCITES,HEMATOLOGY,,,,,
51148,BLASTS,BLOOD,HEMATOLOGY,708-8,26446-5,Blasts/100 leukocytes in Blood,50335,
51346,BLASTS,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,26447-3,Blasts/100 leukocytes in Cerebral spinal fluid,50512,
51443,BLASTS,PLEURAL,HEMATOLOGY,,,,50731,
51149,BLEEDING TIME,BLOOD,HEMATOLOGY,,11067-6,Bleeding time,50336,
51466,BLOOD,URINE,HEMATOLOGY,,5794-3,Hemoglobin [Presence] in Urine by Test strip,50627,
50886,BLOOD CULTURE HOLD,BLOOD,CHEMISTRY,,,,50074,
51150,BLOOD PARASITE SMEAR,BLOOD,HEMATOLOGY,,24429-3,Parasite identified in Blood,50425,
51460,"BLOOD, OCCULT",STOOL,HEMATOLOGY,,2335-8,Hemoglobin.gastrointestinal [Presence] in Stool,50619,
50887,BLUE TOP HOLD,BLOOD,CHEMISTRY,,,,50124,
50888,BLUE TOP HOLD FROZEN,BLOOD,CHEMISTRY,,,,50678,
51467,BROAD CASTS,URINE,HEMATOLOGY,,18487-9,Broad casts [#/area] in Urine sediment by Microscopy low power field,50628,
51151,BURR CELLS,BLOOD,HEMATOLOGY,7790-9,7790-9,Burr cells [Presence] in Blood by Light microscopy,50337,
51525,Billed,BLOOD,CHEMISTRY,,,,50679,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
50889,C-REACTIVE PROTEIN,BLOOD,CHEMISTRY,1988-5,,,50091,
50890,C3,BLOOD,CHEMISTRY,,4485-9,Complement C3 [Mass/volume] in Serum or Plasma,50075,
50891,C4,BLOOD,CHEMISTRY,,4498-2,Complement C4 [Mass/volume] in Serum or Plasma,50076,
50892,CA-125,BLOOD,CHEMISTRY,,10334-1,Cancer Ag 125 [Units/volume] in Serum or Plasma,50077,
51468,CALCIUM CARBONATE CRYSTALS,URINE,HEMATOLOGY,5773-7,5773-7,Calcium carbonate crystals [Presence] in Urine sediment by Light microscopy,50629,
51469,CALCIUM OXALATE CRYSTALS,URINE,HEMATOLOGY,5774-5,5774-5,Calcium oxalate crystals [Presence] in Urine sediment by Light microscopy,50630,
51470,CALCIUM PHOSPHATE CRYSTALS,URINE,HEMATOLOGY,5775-2,5775-2,Calcium phosphate crystals [Presence] in Urine sediment by Light microscopy,50631,
51029,"CALCIUM, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,15155-5,Calcium [Mass/volume] in Body fluid,50213,
50893,"CALCIUM, TOTAL",BLOOD,CHEMISTRY,2000-8,17861-6,Calcium [Mass/volume] in Serum or Plasma,50079,
51077,"CALCIUM, URINE",URINE,CHEMISTRY,2004-0,17862-4,Calcium [Mass/volume] in Urine,50262,
50803,"CALCULATED BICARBONATE, WHOLE BLOOD",BLOOD,BLOOD GAS,,1959-6,Bicarbonate [Moles/volume] in Blood,50022,
50894,CALCULATED FREE TESTOSTERONE,BLOOD,CHEMISTRY,2991-8,2991-8,Testosterone Free [Mass/volume] in Serum or Plasma,50105,
50895,CALCULATED TBG,BLOOD,CHEMISTRY,3027-0,3027-0,Thyroxine/Thyroxine binding globulin [Mass ratio] in Serum or Plasma,50191,
50896,CALCULATED THYROXINE (T4) INDEX,BLOOD,CHEMISTRY,,32215-6,Thyroxine free index in Serum or Plasma,50164,
50804,CALCULATED TOTAL CO2,BLOOD,BLOOD GAS,,1959-6,Bicarbonate [Moles/volume] in Blood,50025,
50897,CALL,BLOOD,CHEMISTRY,,,,,"No ITEMID in mimic2v26, but exists in 2010 lab data dump"
50898,CANCER ANTIGEN 27.29,BLOOD,CHEMISTRY,,17842-6,Cancer Ag 27-29 [Units/volume] in Serum or Plasma,50078,
50899,CARBAMAZEPINE,BLOOD,CHEMISTRY,3432-2,3432-2,Carbamazepine [Mass/volume] in Serum or Plasma,50081,
50805,CARBOXYHEMOGLOBIN,BLOOD,BLOOD GAS,,20563-3,Carboxyhemoglobin/Hemoglobin.total in Blood,50003,
50900,CARCINOEMBYRONIC ANTIGEN (CEA),BLOOD,CHEMISTRY,2039-6,2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,50082,
51152,CD10,BLOOD,HEMATOLOGY,,8107-5,CD10 cells/100 cells in Blood,50338,
51303,CD10,BONE MARROW,HEMATOLOGY,,51216-0,CD10 cells/100 cells in Bone marrow,50474,
51388,CD10,OTHER BODY FLUID,HEMATOLOGY,,51217-8,CD10 cells/100 cells in Body fluid,50552,
51153,CD103,BLOOD,HEMATOLOGY,,,,50706,
51304,CD103,BONE MARROW,HEMATOLOGY,,51221-0,CD103 cells/100 cells in Bone marrow,50475,
51389,CD103,OTHER BODY FLUID,HEMATOLOGY,,,,50724,
51154,CD117,BLOOD,HEMATOLOGY,,17107-4,CD117 cells/100 cells in Blood,50339,
51305,CD117,BONE MARROW,HEMATOLOGY,,42866-4,CD117 cells/100 cells in Bone marrow,50476,
51390,CD117,OTHER BODY FLUID,HEMATOLOGY,,42867-2,CD117 cells/100 cells in Body fluid,50553,
51155,CD11C,BLOOD,HEMATOLOGY,,8109-1,CD11c cells/100 cells in Blood,50340,
51306,CD11C,BONE MARROW,HEMATOLOGY,,33202-3,CD11c cells/100 cells in Bone marrow,50477,
51391,CD11C,OTHER BODY FLUID,HEMATOLOGY,,51232-7,CD11c cells/100 cells in Body fluid,50554,
51156,CD13,BLOOD,HEMATOLOGY,,8110-9,CD13 cells/100 cells in Blood,50341,
51307,CD13,BONE MARROW,HEMATOLOGY,,51237-6,CD13 cells/100 cells in Bone marrow,50478,
51392,CD13,OTHER BODY FLUID,HEMATOLOGY,,51238-4,CD13 cells/100 cells in Body fluid,50555,
51157,CD138,BLOOD,HEMATOLOGY,,42869-8,CD138 cells/100 cells in Blood,50342,
51308,CD138,BONE MARROW,HEMATOLOGY,,,,50716,
51393,CD138,OTHER BODY FLUID,HEMATOLOGY,,42871-4,CD138 cells/100 cells in Body fluid,50556,
51158,CD14,BLOOD,HEMATOLOGY,,8111-7,CD14 cells/100 cells in Blood,50343,
51309,CD14,BONE MARROW,HEMATOLOGY,,32507-6,CD14 cells/100 cells in Bone marrow,50479,
51394,CD14,OTHER BODY FLUID,HEMATOLOGY,,51248-3,CD14 cells/100 cells in Body fluid,50557,
51159,CD15,BLOOD,HEMATOLOGY,,17117-3,CD15 cells/100 cells in Blood,50344,
51310,CD15,BONE MARROW,HEMATOLOGY,,51251-7,CD15 cells/100 cells in Bone marrow,50480,
51395,CD15,OTHER BODY FLUID,HEMATOLOGY,,51252-5,CD15 cells/100 cells in Body fluid,50558,
51160,CD15/56,BLOOD,HEMATOLOGY,,18267-5,CD16+CD56+ cells/100 cells in Blood,50346,
51161,CD16,BLOOD,HEMATOLOGY,,8115-8,CD16 cells/100 cells in Blood,50345,
51311,CD16,BONE MARROW,HEMATOLOGY,,,,50481,
51396,CD16,OTHER BODY FLUID,HEMATOLOGY,,,,50725,
51312,CD16/56,BONE MARROW,HEMATOLOGY,,51255-8,CD16+CD56+ cells/100 cells in Bone marrow,50482,
51397,CD16/56,OTHER BODY FLUID,HEMATOLOGY,,18268-3,CD16+CD56+ cells/100 cells in Body fluid,50559,
51162,CD16/56 ABSOLUTE COUNT,BLOOD,HEMATOLOGY,,,,,look for CD16+CD56 [#/volume] LOINC
51163,CD16/56%,BLOOD,HEMATOLOGY,,18267-5,CD16+CD56+ cells/100 cells in Blood,50346,
51164,CD19,BLOOD,HEMATOLOGY,,8117-4,CD19 cells/100 cells in Blood,50347,
51313,CD19,BONE MARROW,HEMATOLOGY,,32525-8,CD19 cells/100 cells in Bone marrow,50483,
51398,CD19,OTHER BODY FLUID,HEMATOLOGY,,17829-3,CD19 cells/100 cells in Body fluid,50560,
51165,CD19 %,BLOOD,HEMATOLOGY,,,,,
51166,CD19 ABSOLUTE COUNT,BLOOD,HEMATOLOGY,,,,,
51167,CD2,BLOOD,HEMATOLOGY,,8118-2,CD2 cells/100 cells in Blood,50348,
51314,CD2,BONE MARROW,HEMATOLOGY,,32527-4,CD2 cells/100 cells in Bone marrow,50484,
51399,CD2,OTHER BODY FLUID,HEMATOLOGY,,17827-7,CD2 cells/100 cells in Body fluid,50561,
51168,CD20,BLOOD,HEMATOLOGY,,8119-0,CD20 cells/100 cells in Blood,50349,
51315,CD20,BONE MARROW,HEMATOLOGY,,,,50485,
51400,CD20,OTHER BODY FLUID,HEMATOLOGY,,57418-6,CD20 cells/100 cells in Body fluid,50562,
51169,CD20 %,BLOOD,HEMATOLOGY,,,,,
51170,CD20 ABSOLUTE COUNT,BLOOD,HEMATOLOGY,,,,,
51171,CD22,BLOOD,HEMATOLOGY,,14017-8,CD22 cells/100 cells in Blood,50350,
51316,CD22,BONE MARROW,HEMATOLOGY,,,,50717,
51401,CD22,OTHER BODY FLUID,HEMATOLOGY,,42875-5,CD22 cells/100 cells in Body fluid,50563,
51172,CD23,BLOOD,HEMATOLOGY,,14018-6,CD23 cells/100 cells in Blood,50351,
51317,CD23,BONE MARROW,HEMATOLOGY,,51268-1,CD23 cells/100 cells in Bone marrow,50486,
51402,CD23,OTHER BODY FLUID,HEMATOLOGY,,51269-9,CD23 cells/100 cells in Body fluid,50564,
51173,CD25,BLOOD,HEMATOLOGY,,,,50707,
51318,CD25,BONE MARROW,HEMATOLOGY,,,,50718,
51403,CD25,OTHER BODY FLUID,HEMATOLOGY,,,,50726,
51319,CD3,BONE MARROW,HEMATOLOGY,,32529-0,CD3 cells/100 cells in Bone marrow,50487,
51404,CD3,OTHER BODY FLUID,HEMATOLOGY,,17826-9,CD3 cells/100 cells in Body fluid,50565,
51174,CD3 %,BLOOD,HEMATOLOGY,,,,,
51175,CD3 ABSOLUTE COUNT,BLOOD,HEMATOLOGY,,8122-4,CD3 cells [#/volume] in Blood,50317,
51176,"CD3 CELLS, PERCENT",BLOOD,HEMATOLOGY,8122-4,8124-0,CD3 cells/100 cells in Blood,50352,
51177,CD33,BLOOD,HEMATOLOGY,,8102-6,CD33 cells/100 cells in Blood,50353,
51320,CD33,BONE MARROW,HEMATOLOGY,,51293-9,CD33 cells/100 cells in Bone marrow,50488,
51405,CD33,OTHER BODY FLUID,HEMATOLOGY,,51294-7,CD33 cells/100 cells in Body fluid,50566,
51178,CD34,BLOOD,HEMATOLOGY,5465-0,8125-7,CD34 cells/100 cells in Blood,50354,
51321,CD34,BONE MARROW,HEMATOLOGY,,57400-4,CD34 cells/100 cells in Bone marrow,50489,
51406,CD34,OTHER BODY FLUID,HEMATOLOGY,,,,50567,
51179,CD38,BLOOD,HEMATOLOGY,,8126-5,CD38 cells/100 cells in Blood,50355,
51322,CD38,BONE MARROW,HEMATOLOGY,,,,50719,
51407,CD38,OTHER BODY FLUID,HEMATOLOGY,,51299-6,CD38 cells/100 cells in Body fluid,50568,
51323,CD4,BONE MARROW,HEMATOLOGY,,51301-0,CD4 cells/100 cells in Bone marrow,50490,
51408,CD4,OTHER BODY FLUID,HEMATOLOGY,,17822-8,CD4 cells/100 cells in Body fluid,50569,
51180,"CD4 CELLS, PERCENT",BLOOD,HEMATOLOGY,8127-3,8127-3,CD4 cells [#/volume] in Blood,50318,
51181,CD4/CD8 RATIO,BLOOD,HEMATOLOGY,,8129-9,CD4 cells/CD8 Cells [# Ratio] in Blood,50357,
51409,CD4/CD8 RATIO,OTHER BODY FLUID,HEMATOLOGY,,18266-7,CD4 cells/CD8 Cells [# Ratio] in Body fluid,50570,
51182,CD41,BLOOD,HEMATOLOGY,,17148-8,CD41 cells/100 cells in Blood,50358,
51324,CD41,BONE MARROW,HEMATOLOGY,,51319-2,CD41 cells/100 cells in Bone marrow,50491,
51410,CD41,OTHER BODY FLUID,HEMATOLOGY,,51320-0,CD41 cells/100 cells in Body fluid,50571,
51183,CD45,BLOOD,HEMATOLOGY,,8130-7,CD45 cells/100 cells in Blood,50359,
51325,CD45,BONE MARROW,HEMATOLOGY,,51340-8,CD45 cells/100 cells in Bone marrow,50492,
51411,CD45,OTHER BODY FLUID,HEMATOLOGY,,17823-6,CD45 cells/100 cells in Body fluid,50572,
51184,CD5,BLOOD,HEMATOLOGY,,8132-3,CD5 cells/100 cells in Blood,50360,
51326,CD5,BONE MARROW,HEMATOLOGY,,35640-2,CD5 cells/100 cells in Bone marrow,50493,
51412,CD5,OTHER BODY FLUID,HEMATOLOGY,,57423-6,CD5 cells/100 cells in Body fluid,50573,
51185,CD5 %,BLOOD,HEMATOLOGY,,,,,
51186,CD5 ABSOLUTE COUNT,BLOOD,HEMATOLOGY,,,,,look for CD5 [#/volume] LOINC
51187,CD55,BLOOD,HEMATOLOGY,,17175-1,CD55 cells/100 cells in Blood,50361,
51327,CD55,BONE MARROW,HEMATOLOGY,,51344-0,CD55 cells/100 cells in Bone marrow,50494,
51535,CD55,OTHER BODY FLUID,HEMATOLOGY,,,,50727,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
51188,CD56,BLOOD,HEMATOLOGY,,8133-1,CD56 cells/100 cells in Blood,50362,
51328,CD56,BONE MARROW,HEMATOLOGY,,,,50495,
51413,CD56,OTHER BODY FLUID,HEMATOLOGY,,57424-4,CD56 cells/100 cells in Body fluid,50574,
