itemid,label,fluid,category,valueuom,loinc,notes
51197,Elliptocytes,Blood,Hematology,N/A,,
51200,Eosinophils,Blood,Hematology,%,713-8,More specific method
51237,INR(PT),Blood,Hematology,,,
51244,Lymphocytes,Blood,Hematology,%,736-9,More specific method
51246,Macrocytes,Blood,Hematology,N/A,,
51252,Microcytes,Blood,Hematology,N/A,,
51254,Monocytes,Blood,Hematology,%,5905-5,More specific method
51256,Neutrophils,Blood,Hematology,%,770-8,More specific method
51257,Nucleated Red Cells,Blood,Hematology,%,,
51259,Other Cells,Blood,Hematology,%,,
51266,Platelet Smear,Blood,Hematology,N/A,,
51269,Promyelocytes,Blood,Hematology,%,783-1,More specific method
51288,Sedimentation Rate,Blood,Hematology,mm/hr,4537-7,More specific method
51301,White Blood Cells,Blood,Hematology,K/uL,,
51463,Bacteria,Urine,Hematology,/hpf,5769-5,The original LOINC code was correct
51493,RBC,Urine,Hematology,#/hpf,,
51514,Urobilinogen,Urine,Hematology,mg/dL,,
51519,Yeast,Urine,Hematology,/hpf,,
50801,Alveolar-arterial Gradient,Blood,Blood Gas,mm Hg,,
50802,Base Excess,Blood,Blood Gas,mEq/L,,
50803,"Calculated Bicarbonate, Whole Blood",Blood,Blood Gas,mEq/L,,
50804,Calculated Total CO2,Blood,Blood Gas,mEq/L,,
50806,"Chloride, Whole Blood",Blood,Blood Gas,mEq/L,,
50808,Free Calcium,Blood,Blood Gas,mmol/L,,
50809,Glucose,Blood,Blood Gas,mg/dL,,
50810,"Hematocrit, Calculated",Blood,Blood Gas,%,,
50811,Hemoglobin,Blood,Blood Gas,g/dL,,
50812,Intubated,Blood,Blood Gas,,,
50813,Lactate,Blood,Blood Gas,mmol/L,,
50815,O2 Flow,Blood,Blood Gas,L/min,,
50816,Oxygen,Blood,Blood Gas,%,,
50817,Oxygen Saturation,Blood,Blood Gas,%,,
50818,pCO2,Blood,Blood Gas,mm Hg,,
50819,PEEP,Blood,Blood Gas,,,
50820,pH,Blood,Blood Gas,units,,
50821,pO2,Blood,Blood Gas,mm Hg,,
50822,"Potassium, Whole Blood",Blood,Blood Gas,mEq/L,,
50823,Required O2,Blood,Blood Gas,,,
50824,"Sodium, Whole Blood",Blood,Blood Gas,mEq/L,,
50825,Temperature,Blood,Blood Gas,,,
50826,Tidal Volume,Blood,Blood Gas,,,
50827,Ventilation Rate,Blood,Blood Gas,,,
50828,Ventilator,Blood,Blood Gas,,,
50852,% Hemoglobin A1c,Blood,Chemistry,%,,
50853,25-OH Vitamin D,Blood,Chemistry,ng/mL,,
50861,Alanine Aminotransferase (ALT),Blood,Chemistry,IU/L,,
50862,Albumin,Blood,Chemistry,g/dL,,
50863,Alkaline Phosphatase,Blood,Chemistry,IU/L,,
50864,Alpha-Fetoprotein,Blood,Chemistry,ng/mL,,
50868,Anion Gap,Blood,Chemistry,mEq/L,,
50878,Asparate Aminotransferase (AST),Blood,Chemistry,IU/L,,
50879,Barbiturate Screen,Blood,Chemistry,N/A,3376-1,https://loinc.org/72479-9/
50880,Benzodiazepine Screen,Blood,Chemistry,N/A,42662-7,https://loinc.org/72479-9/
50881,Beta-2 Microglobulin,Blood,Chemistry,mg/L,,
50882,Bicarbonate,Blood,Chemistry,mEq/L,,
50883,"Bilirubin, Direct",Blood,Chemistry,mg/dL,,
50884,"Bilirubin, Indirect",Blood,Chemistry,mg/dL,,
50885,"Bilirubin, Total",Blood,Chemistry,mg/dL,,
50887,Blue Top Hold,Blood,Chemistry,,,
50889,C-Reactive Protein,Blood,Chemistry,mg/L,,
50890,C3,Blood,Chemistry,mg/dL,,
50891,C4,Blood,Chemistry,mg/dL,,
50892,CA-125,Blood,Chemistry,U/mL,,
50895,Calculated TBG,Blood,Chemistry,Ratio,,
50896,Calculated Thyroxine (T4) Index,Blood,Chemistry,ug/dL,,
50898,Cancer Antigen 27.29,Blood,Chemistry,U/mL,,
50900,Carcinoembyronic Antigen (CEA),Blood,Chemistry,ng/mL,,
50902,Chloride,Blood,Chemistry,mEq/L,,
50904,"Cholesterol, HDL",Blood,Chemistry,mg/dL,2085-9,Original LOINC code is deprecated
50905,"Cholesterol, LDL, Calculated",Blood,Chemistry,mg/dL,13457-7,Original LOINC code is deprecated
50906,"Cholesterol, LDL, Measured",Blood,Chemistry,mg/dL,,
50907,"Cholesterol, Total",Blood,Chemistry,mg/dL,,
50908,CK-MB Index,Blood,Chemistry,%,,
50909,Cortisol,Blood,Chemistry,ug/dL,,
50910,Creatine Kinase (CK),Blood,Chemistry,IU/L,,
50912,Creatinine,Blood,Chemistry,mg/dL,,
50914,Cyclosporin,Blood,Chemistry,ng/mL,3520-4,Original LOINC code is discouraged
50915,D-Dimer,Blood,Chemistry,ng/mL|ng/mL FEU,,
50917,Digoxin,Blood,Chemistry,ng/mL,,
50918,Double Stranded DNA,Blood,Chemistry,U/mL|N/A,,
50919,EDTA Hold,Blood,Chemistry,,,
50920,Estimated GFR (MDRD equation),Blood,Chemistry,,,
50924,Ferritin,Blood,Chemistry,ng/mL,,
50925,Folate,Blood,Chemistry,ng/mL,,
50926,Follicle Stimulating Hormone,Blood,Chemistry,mIU/mL,15067-2,Original LOINC code is discouraged
50927,Gamma Glutamyltransferase,Blood,Chemistry,IU/L,,
50930,Globulin,Blood,Chemistry,g/dL,,
50931,Glucose,Blood,Chemistry,mg/dL,2345-7,Original LOINC code is deprecated
50933,Green Top Hold (plasma),Blood,Chemistry,,,
50934,H,Blood,Chemistry,U,,
50935,Haptoglobin,Blood,Chemistry,mg/dL,,
50943,Hepatitis C Virus Antibody,Blood,Chemistry,N/A,13955-0,More specific method
50944,HIV Antibody,Blood,Chemistry,N/A,,
50947,I,Blood,Chemistry,U,,
50948,Immunofixation,Blood,Chemistry,,25700-6,https://loinc.org/25700-6/
50949,Immunoglobulin A,Blood,Chemistry,mg/dL,,
50950,Immunoglobulin G,Blood,Chemistry,mg/dL,,
50951,Immunoglobulin M,Blood,Chemistry,mg/dL,,
50952,Iron,Blood,Chemistry,ug/dL,,
50953,"Iron Binding Capacity, Total",Blood,Chemistry,ug/dL,,
50954,Lactate Dehydrogenase (LD),Blood,Chemistry,IU/L,,
50955,Light Green Top Hold,Blood,Chemistry,,,
50956,Lipase,Blood,Chemistry,IU/L,,
50963,NTproBNP,Blood,Chemistry,pg/mL,,
50964,"Osmolality, Measured",Blood,Chemistry,mOsm/kg,,
50965,Parathyroid Hormone,Blood,Chemistry,pg/mL,,
50970,Phosphate,Blood,Chemistry,mg/dL,,
50971,Potassium,Blood,Chemistry,mEq/L,,
50973,Prolactin,Blood,Chemistry,ng/mL,,
50974,Prostate Specific Antigen,Blood,Chemistry,ng/mL,,
50975,Protein Electrophoresis,Blood,Chemistry,,,
50976,"Protein, Total",Blood,Chemistry,g/dL,,
50978,Rapamycin,Blood,Chemistry,ng/mL,,
50979,Red Top Hold,Blood,Chemistry,,,
50980,Rheumatoid Factor,Blood,Chemistry,IU/mL,11572-5,Better match
50983,Sodium,Blood,Chemistry,mEq/L,,
50986,tacroFK,Blood,Chemistry,ng/mL,,
50988,Testosterone,Blood,Chemistry,ng/dL,2986-8,Original LOINC code is deprecated
50993,Thyroid Stimulating Hormone,Blood,Chemistry,uIU/mL|uU/ML,,
50994,Thyroxine (T4),Blood,Chemistry,ug/dL,,
50995,"Thyroxine (T4), Free",Blood,Chemistry,ng/dL,,
50996,"Tissue Transglutaminase Ab, IgA",Blood,Chemistry,units,,
50999,Tricyclic Antidepressant Screen,Blood,Chemistry,N/A,,
51001,Triiodothyronine (T3),Blood,Chemistry,ng/dL,,
51003,Troponin T,Blood,Chemistry,ng/mL,,
51005,Uptake Ratio,Blood,Chemistry,Ratio,,
51006,Urea Nitrogen,Blood,Chemistry,mg/dL,,
51007,Uric Acid,Blood,Chemistry,mg/dL,,
51008,Valproic Acid,Blood,Chemistry,ug/mL,,
51009,Vancomycin,Blood,Chemistry,ug/mL,20578-1,Original LOINC code is discouraged
51054,"Lactate Dehydrogenase, Pleural",Pleural,Chemistry,IU/L,,Original LOINC code is discouraged
51059,"Total Protein, Pleural",Pleural,Chemistry,g/dL,,
51067,24 hr Creatinine,Urine,Chemistry,mg/24hr,,
51069,"Albumin, Urine",Urine,Chemistry,mg/dL,,
51070,"Albumin/Creatinine, Urine",Urine,Chemistry,mg/g,,
51071,"Amphetamine Screen, Urine",Urine,Chemistry,N/A,,
51074,"Barbiturate Screen, Urine",Urine,Chemistry,N/A,19270-8,More specific method
51075,"Benzodiazepine Screen, Urine",Urine,Chemistry,N/A,,
51078,"Chloride, Urine",Urine,Chemistry,mEq/L,,
51079,"Cocaine, Urine",Urine,Chemistry,N/A,,
51082,"Creatinine, Urine",Urine,Chemistry,mg/dL,,
51085,"HCG, Urine, Qualitative",Urine,Chemistry,+/-|N/A,,
51087,Length of Urine Collection,Urine,Chemistry,,,
51089,Marijuana,Urine,Chemistry,N/A,,
51090,"Methadone, Urine",Urine,Chemistry,N/A,,
51092,"Opiate Screen, Urine",Urine,Chemistry,N/A,,
51093,"Osmolality, Urine",Urine,Chemistry,mOsm/kg,,
51094,pH,Urine,Chemistry,,5803-2,
51097,"Potassium, Urine",Urine,Chemistry,mEq/L,,
51098,"Prot. Electrophoresis, Urine",Urine,Chemistry,+/-,,
51099,Protein/Creatinine Ratio,Urine,Chemistry,Ratio|mg/mg,,
51100,"Sodium, Urine",Urine,Chemistry,mEq/L,,
51103,Uhold,Urine,Chemistry,,,
51104,"Urea Nitrogen, Urine",Urine,Chemistry,mg/dL,,
51107,"Urine tube, held",Urine,Chemistry,,,
51108,Urine Volume,Urine,Chemistry,mL,,
51116,Lymphocytes,Ascites,Hematology,%,,
51117,Macrophage,Ascites,Hematology,%,40517-5,
51118,Mesothelial Cell,Ascites,Hematology,%,,
51120,Monocytes,Ascites,Hematology,%,,
51125,Polys,Ascites,Hematology,%,,
51127,"RBC, Ascites",Ascites,Hematology,#/uL,,
51133,Absolute Lymphocyte Count,Blood,Hematology,K/uL,,
51134,Acanthocytes,Blood,Hematology,N/A,,
51145,Basophilic Stippling,Blood,Hematology,N/A,,
51147,Bite Cells,Blood,Hematology,N/A,,
51181,CD4/CD8 Ratio,Blood,Hematology,Ratio,,
51196,D-Dimer,Blood,Hematology,ng/mL|ng/mL FEU,,
51214,"Fibrinogen, Functional",Blood,Hematology,mg/dL,,
51218,Granulocyte Count,Blood,Hematology,#/uL,,
51219,H/O Smear,Blood,Hematology,,,
51221,Hematocrit,Blood,Hematology,%,,
51222,Hemoglobin,Blood,Hematology,g/dL,,
51233,Hypochromia,Blood,Hematology,N/A,,
51245,"Lymphocytes, Percent",Blood,Hematology,%,736-9,More specific method
51248,MCH,Blood,Hematology,pg,,
51249,MCHC,Blood,Hematology,%|g/dL,,
51250,MCV,Blood,Hematology,fL,,
51251,Metamyelocytes,Blood,Hematology,%,,
51255,Myelocytes,Blood,Hematology,%,,
51260,Ovalocytes,Blood,Hematology,N/A,,
51265,Platelet Count,Blood,Hematology,K/uL,,
51267,Poikilocytosis,Blood,Hematology,N/A,,
51268,Polychromasia,Blood,Hematology,N/A,,
51274,PT,Blood,Hematology,sec,,
51275,PTT,Blood,Hematology,sec,14979-9,Original LOINC code is deprecated
51277,RDW,Blood,Hematology,%,,
51279,Red Blood Cells,Blood,Hematology,m/uL,,
51282,"Reticulocyte Count, Absolute",Blood,Hematology,m/uL|/mm3,,
51283,"Reticulocyte Count, Automated",Blood,Hematology,%,,
51287,Schistocytes,Blood,Hematology,N/A,,
51292,Spherocytes,Blood,Hematology,N/A,,
51294,Target Cells,Blood,Hematology,N/A,,
51296,Teardrop Cells,Blood,Hematology,N/A,,
51300,WBC Count,Blood,Hematology,K/uL,,
51446,Lymphocytes,Pleural,Hematology,%,,
51450,Monos,Pleural,Hematology,%,,
51455,Polys,Pleural,Hematology,%,,
51462,Amorphous Crystals,Urine,Hematology,/hpf,,
51464,Bilirubin,Urine,Hematology,mg/dL|N/A|EU/dL,,
51466,Blood,Urine,Hematology,N/A,,
51469,Calcium Oxalate Crystals,Urine,Hematology,/hpf,,
51476,Epithelial Cells,Urine,Hematology,#/hpf,,
51478,Glucose,Urine,Hematology,mg/dL,,
51479,Granular Casts,Urine,Hematology,#/lpf,,
51482,Hyaline Casts,Urine,Hematology,#/lpf,,
51484,Ketone,Urine,Hematology,mg/dL,,
51486,Leukocytes,Urine,Hematology,N/A,,
51487,Nitrite,Urine,Hematology,N/A,,
51491,pH,Urine,Hematology,units,,
51492,Protein,Urine,Hematology,mg/dL,,
51498,Specific Gravity,Urine,Hematology, ,,
51501,Transitional Epithelial Cells,Urine,Hematology,#/hpf,,
51506,Urine Appearance,Urine,Hematology,N/A,,
51508,Urine Color,Urine,Hematology,N/A,,
51512,Urine Mucous,Urine,Hematology,/hpf,,
51516,WBC,Urine,Hematology,#/hpf,,
51518,WBC Clumps,Urine,Hematology,/hpf,,
51562,ARCH-1,Blood,Chemistry,,,
51611,eAG,Blood,Chemistry,mg/dL,,
51623,Free Kappa,Blood,Chemistry,mg/L,,
51624,Free Kappa/Free Lambda Ratio,Blood,Chemistry,,,
51625,Free Lambda,Blood,Chemistry,mg/L,,
51655,HPE1,Blood,Chemistry,,,
51656,HPE2,Blood,Chemistry,,,
51657,HPE3,Blood,Chemistry,,,
51661,HPE7,Blood,Chemistry,,,
51676,L,Blood,Chemistry,U,,
51704,Problem Specimen,Blood,Chemistry,,,
51730,STX1,Blood,Chemistry,,,
51731,STX2,Blood,Chemistry,,,
51732,STX3,Blood,Chemistry,,,
51733,STX4,Blood,Chemistry,,,
51734,STX5,Blood,Chemistry,,,
51735,STX6,Blood,Chemistry,,,
51750,Voided Specimen,Blood,Chemistry,,,
51788,"Glucose, CSF",Cerebrospinal Fluid,Chemistry,mg/dL,,
51800,"Total Protein, CSF",Cerebrospinal Fluid,Chemistry,mg/dL,,
51844,Chlamydia trachomatis,Other Body Fluid,Chemistry,N/A,,
51859,Influenza A by PCR,Other Body Fluid,Chemistry,,,
51867,Influenza B by PCR,Other Body Fluid,Chemistry,,,
51873,Neisseria gonorrhoeae,Other Body Fluid,Chemistry,N/A,,
51896,PAN1,Other Body Fluid,Chemistry,,,
51984,Oxycodone,Urine,Chemistry,N/A,,
51999,UTX1,Urine,Chemistry,,,
52000,UTX2,Urine,Chemistry,,,
52001,UTX3,Urine,Chemistry,,,
52002,UTX4,Urine,Chemistry,,,
52003,UTX5,Urine,Chemistry,,,
52004,UTX6,Urine,Chemistry,,,
52005,UTX7,Urine,Chemistry,,,
52018,Assist/Control,Blood,Chemistry,,,
52028,Specimen Type,Blood,Blood Gas,,,
52060,"Total Nucleated Cells, Ascites",Ascites,Hematology,#/uL,,
52064,Absolute Basophil Count,Blood,Hematology,K/uL,,
52068,Absolute Eosinophil Count,Blood,Hematology,K/uL,,
52069,Absolute Monocyte Count,Blood,Hematology,K/uL,,
52070,Absolute Neutrophil Count,Blood,Hematology,K/uL,,
52106,Echinocytes,Blood,Hematology,N/A,,
52130,Immature Granulocytes,Blood,Hematology,%,,
52166,RBC Morphology,Blood,Hematology,N/A,,
52167,RDW-SD,Blood,Hematology,fL,,
52267,Monocytes,Cerebrospinal Fluid,Hematology,%,,
52276,Polys,Cerebrospinal Fluid,Hematology,%,,
52280,"RBC, CSF",Cerebrospinal Fluid,Hematology,#/uL,,
52281,"Total Nucleated Cells, CSF",Cerebrospinal Fluid,Hematology,#/uL,,
52386,"Total Nucleated Cells, Pleural",Pleural,Hematology,#/uL,,
52764,Absolute Lymphocyte Count,Blood,0,#/uL,,
50877,Anti-Thyroglobulin Antibodies,Blood,Chemistry,IU/mL,,
50958,Luteinizing Hormone,Blood,Chemistry,mIU/mL,,
50966,Phenobarbital,Blood,Chemistry,ug/mL,,
50982,Sex Hormone Binding Globulin,Blood,Chemistry,nmol/L,,
51076,"Bicarbonate, Urine",Urine,Chemistry,mEq/L,,
51077,"Calcium, Urine",Urine,Chemistry,mg/dL,,
51088,"Magnesium, Urine",Urine,Chemistry,mg/dL,,
51203,Factor IX,Blood,Hematology,%,,
51211,Factor XIII,Blood,Hematology,%,,
51223,Hemoglobin A2,Blood,Hematology,%,,
51224,Hemoglobin C,Blood,Hematology,%,,
51225,Hemoglobin F,Blood,Hematology,%,,
51226,Hemogloblin A,Blood,Hematology,%,,
51227,Hemogloblin S,Blood,Hematology,%,,
51232,Hypersegmented Neutrophils,Blood,Hematology,%,,
51299,Von Willebrand Factor Antigen,Blood,Hematology,%,,
51473,Cysteine Crystals,Urine,Hematology,/hpf,,
50805,Carboxyhemoglobin,Blood,Blood Gas,%,,
50807,Comments,Blood,Blood Gas,,,
50814,Methemoglobin,Blood,Blood Gas,%,,
50829,Fluid Type,Other Body Fluid,Blood Gas,,,
50830,"pCO2, Body Fluid",Other Body Fluid,Blood Gas,mm Hg,,
50831,pH,Other Body Fluid,Blood Gas,units,,
50832,"pO2, Body Fluid",Other Body Fluid,Blood Gas,mm Hg,,
50833,Potassium,Other Body Fluid,Blood Gas,,,
50834,"Sodium, Body Fluid",Other Body Fluid,Blood Gas,,,
50835,"Albumin, Ascites",Ascites,Chemistry,g/dL,,
50836,"Amylase, Ascites",Ascites,Chemistry,IU/L,,
50837,"Bicarbonate, Ascites",Ascites,Chemistry,mEq/L,,
50838,"Bilirubin, Total, Ascites",Ascites,Chemistry,mg/dL,,
50839,"Chloride, Ascites",Ascites,Chemistry,mEq/L,,
50840,"Cholesterol, Ascites",Ascites,Chemistry,mg/dL,,
50841,"Creatinine, Ascites",Ascites,Chemistry,mg/dL,,
50842,"Glucose, Ascites",Ascites,Chemistry,mg/dL,,
50843,"Lactate Dehydrogenase, Ascites",Ascites,Chemistry,IU/L,,
50844,"Lipase, Ascites",Ascites,Chemistry,U/L,,
50845,"Miscellaneous, Ascites",Ascites,Chemistry,,,
50846,"Osmolality, Ascites",Ascites,Chemistry,mOsm/kg,,
50847,"Potassium, Ascites",Ascites,Chemistry,mEq/L,,
50848,"Sodium, Ascites",Ascites,Chemistry,mEq/L,,
50849,"Total Protein, Ascites",Ascites,Chemistry,g/dL,,
50850,"Triglycerides, Ascites",Ascites,Chemistry,mg/dL,,
50851,"Urea Nitrogen, Ascites",Ascites,Chemistry,mg/dL,,
50854,Absolute A1c,Blood,Chemistry,,,
50855,Absolute Hemoglobin,Blood,Chemistry,,,
50857,Acetone,Blood,Chemistry,N/A,,
50858,Acid Phosphatase,Blood,Chemistry,,,
50859,"Acid Phosphatase, Non-Prostatic",Blood,Chemistry,,,
50860,"AFP, Maternal Screen",Blood,Chemistry,,,
50865,Amikacin,Blood,Chemistry,ug/mL,,
50866,Ammonia,Blood,Chemistry,umol/L,,
50869,Anti-DGP (IgA/IgG),Blood,Chemistry,units,,
50870,"Anti-Gliadin Antibody, IgA",Blood,Chemistry,units,,
50871,Anti-Mitochondrial Antibody,Blood,Chemistry,N/A,,
50872,Anti-Neutrophil Cytoplasmic Antibody,Blood,Chemistry,N/A,,
50875,Anti-Parietal Cell Antibody,Blood,Chemistry,N/A,,
50876,Anti-Smooth Muscle Antibody,Blood,Chemistry,N/A,,
50886,Blood Culture Hold,Blood,Chemistry,,,
50888,Blue Top Hold Frozen,Blood,Chemistry,,,
50894,Calculated Free Testosterone,Blood,Chemistry,pg/mL,,
50897,Call,Blood,Chemistry,,,
50899,Carbamazepine,Blood,Chemistry,ug/mL,,
50901,Centromere,Blood,Chemistry,N/A,,
50913,Cryoglobulin,Blood,Chemistry,N/A,,
50916,DHEA-Sulfate,Blood,Chemistry,ug/dL,,
50921,Estradiol,Blood,Chemistry,pg/mL,,
50923,Fax,Blood,Chemistry,,,
50928,Gastrin,Blood,Chemistry,,,
50929,Gentamicin,Blood,Chemistry,ug/mL,,
50932,Gray Top Hold (plasma),Blood,Chemistry,,,
50936,"HCG, Maternal Screen",Blood,Chemistry,,,
50938,Hepatitis A Virus IgM Antibody,Blood,Chemistry,N/A,,
50939,"Hepatitis B Core Antibody, IgM",Blood,Chemistry,N/A,,
50945,Homocysteine,Blood,Chemistry,umol/L,,
50959,Macro Prolactin,Blood,Chemistry,,,
50961,Methotrexate,Blood,Chemistry,umol/L,,
50962,N-Acetylprocainamide (NAPA),Blood,Chemistry,ug/mL,,
50968,"Phenytoin, Free",Blood,Chemistry,ug/mL,,
50969,"Phenytoin, Percent Free",Blood,Chemistry,%,,
50972,Procainamide,Blood,Chemistry,ug/mL,,
50977,Quinidine,Blood,Chemistry,,,
50984,Stat,Blood,Chemistry,,,
50985,Study Tubes,Blood,Chemistry,,,
50989,"Testosterone, Free",Blood,Chemistry,pg/mL,,
50990,Theophylline,Blood,Chemistry,ug/mL,,
50991,Thyroglobulin,Blood,Chemistry,ng/mL,,
50992,Thyroid Peroxidase Antibodies,Blood,Chemistry,IU/mL,,
50997,Tobramycin,Blood,Chemistry,ug/mL,,
51002,Troponin I,Blood,Chemistry,,,
51004,"UE3, Maternal Screen",Blood,Chemistry,,,
51019,"Albumin, Joint Fluid",Joint Fluid,Chemistry,g/dL,,
51020,"Amylase, Joint Fluid",Joint Fluid,Chemistry,IU/L,,
51021,"Creatinine, Joint Fluid",Joint Fluid,Chemistry,mg/dL,,
51022,"Glucose, Joint Fluid",Joint Fluid,Chemistry,mg/dL,,
51023,"LD, Joint Fluid",Joint Fluid,Chemistry,IU/L,,
51024,"Total Protein, Joint Fluid",Joint Fluid,Chemistry,g/dL,,
51025,"Albumin, Body Fluid",Other Body Fluid,Chemistry,g/dL,,
51026,"Amylase, Body Fluid",Other Body Fluid,Chemistry,IU/L,,
51027,"Bicarbonate, Other Fluid",Other Body Fluid,Chemistry,mEq/L,,
51028,"Bilirubin, Total, Body Fluid",Other Body Fluid,Chemistry,mg/dL,,
51029,"Calcium, Body Fluid",Other Body Fluid,Chemistry,mg/dL,,
51030,"Chloride, Body Fluid",Other Body Fluid,Chemistry,mEq/L,,
51031,"Cholesterol, Body Fluid",Other Body Fluid,Chemistry,mg/dL,,
51032,"Creatinine, Body Fluid",Other Body Fluid,Chemistry,mg/dL,,
51033,FetalFN,Other Body Fluid,Chemistry,,,
51034,"Glucose, Body Fluid",Other Body Fluid,Chemistry,mg/dL,,
51035,"LD, Body Fluid",Other Body Fluid,Chemistry,IU/L,,
51036,"Lipase, Body Fluid",Other Body Fluid,Chemistry,U/L,,
51037,"Magnesium, Body Fluid",Other Body Fluid,Chemistry,mg/dL,,
51038,"Miscellaneous, Body Fluid",Other Body Fluid,Chemistry,,,
51039,"Osmolality, Body Fluid",Other Body Fluid,Chemistry,mOsm/kg,,
51040,"Phosphate, Body Fluid",Other Body Fluid,Chemistry,mg/dL,,
51041,"Potassium, Body Fluid",Other Body Fluid,Chemistry,mEq/L,,
51042,"Sodium, Body Fluid",Other Body Fluid,Chemistry,mEq/L,,
51043,"Total Protein, Body Fluid",Other Body Fluid,Chemistry,g/dL,,
51044,Triglycer,Other Body Fluid,Chemistry,mg/dL,,
51045,"Urea Nitrogen, Body Fluid",Other Body Fluid,Chemistry,mg/dL,,
51046,"Albumin, Pleural",Pleural,Chemistry,g/dL,,
51047,"Amylase, Pleural",Pleural,Chemistry,IU/L,,
51048,"Bicarbonate, Pleural",Pleural,Chemistry,mEq/L,,
51049,"Bilirubin, Total, Pleural",Pleural,Chemistry,mg/dL,,
51050,"Chloride, Pleural",Pleural,Chemistry,mEq/L,,
51051,"Cholesterol, Pleural",Pleural,Chemistry,mg/dL,,
51052,"Creatinine, Pleural",Pleural,Chemistry,mg/dL,,
51053,"Glucose, Pleural",Pleural,Chemistry,mg/dL,,
51055,"Lipase, Pleural",Pleural,Chemistry,U/L,,
51056,"Miscellaneous, Pleural",Pleural,Chemistry,,,
51057,"Potassium, Pleural",Pleural,Chemistry,mEq/L,,
51058,"Sodium, Pleural",Pleural,Chemistry,mEq/L,,
51060,"Triglycerides, Pleural",Pleural,Chemistry,mg/dL,,
51061,"Bicarbonate, Stool",Stool,Chemistry,mEq/L,,
51062,"Chloride, Stool",Stool,Chemistry,mEq/L,,
51063,"Osmolality, Stool",Stool,Chemistry,mOsm/kg,,
51064,"Potassium, Stool",Stool,Chemistry,mEq/L,,
51065,"Sodium, Stool",Stool,Chemistry,mEq/L,,
51066,24 hr Calcium,Urine,Chemistry,mg/24hr,,
51068,24 hr Protein,Urine,Chemistry,mg/24hr,,
51072,"Amylase, Urine",Urine,Chemistry,U/L,,
51073,"Amylase/Creatinine Ratio, Urine",Urine,Chemistry,Ratio,,
51080,Creatinine Clearance,Urine,Chemistry,mL/min,,
51081,"Creatinine, Serum",Urine,Chemistry,mg/dL,,
51083,"Ethanol, Urine",Urine,Chemistry,N/A,,
51084,"Glucose, Urine",Urine,Chemistry,mg/dL,,
51086,"Immunofixation, Urine",Urine,Chemistry,,,
51091,"Myoglobin, Urine",Urine,Chemistry,,,
51095,"Phosphate, Urine",Urine,Chemistry,mg/dL,,
51096,Porphobilinogen Screen,Urine,Chemistry,+/-,,
51101,Total Collection Time,Urine,Chemistry,hrs,,
51105,"Uric Acid, Urine",Urine,Chemistry,mg/dL,,
51106,Urine Creatinine,Urine,Chemistry,mg/dL,,
51109,"Urine Volume, Total",Urine,Chemistry,mL,,
51110,Atypical Lymphocytes,Ascites,Hematology,%,,
51111,Bands,Ascites,Hematology,%,,
51112,Basophils,Ascites,Hematology,%,,
51113,Blasts,Ascites,Hematology,%,,
51114,Eosinophils,Ascites,Hematology,%,,
51115,"Hematocrit, Ascites",Ascites,Hematology,%,,
51119,Metamyelocytes,Ascites,Hematology,%,,
