FID,DEATHS,LON,LAT
123,2,-0.134756,51.513431
124,2,-0.135244,51.513475
125,3,-0.134897,51.513422
126,1,-0.135158,51.513528
127,2,-0.135344,51.513481
128,2,-0.135063,51.513594
129,3,-0.135801,51.513227
130,1,-0.135762,51.51318
131,2,-0.13574,51.513132
132,1,-0.135645,51.513048
133,1,-0.135602,51.513006
134,1,-0.135501,51.512883
135,1,-0.135832,51.51327
136,3,-0.136049,51.513459
137,3,-0.13614,51.513431
138,3,-0.136228,51.513402
139,3,-0.134999,51.512593
140,1,-0.134793,51.512585
141,2,-0.134896,51.512555
142,1,-0.135,51.512521
143,1,-0.133483,51.513137
144,1,-0.133265,51.513228
145,2,-0.133296,51.513152
146,1,-0.132933,51.513258
147,1,-0.133998,51.513544
148,1,-0.134042,51.513626
149,2,-0.134156,51.513637
150,2,-0.134091,51.513524
151,1,-0.134272,51.51382
152,1,-0.13422,51.513724
153,1,-0.134704,51.513704
154,1,-0.134782,51.513831
155,1,-0.13501,51.513915
156,1,-0.134923,51.513597
157,1,-0.134885,51.514032
158,5,-0.134212,51.513891
159,1,-0.134135,51.513758
160,1,-0.134364,51.514065
161,2,-0.134447,51.514146
162,2,-0.134479,51.514201
163,1,-0.134658,51.51423
164,1,-0.134367,51.514319
165,1,-0.134179,51.514377
166,1,-0.13416,51.514357
167,2,-0.134069,51.514382
168,2,-0.134085,51.514402
169,5,-0.133821,51.514522
170,1,-0.133922,51.514497
171,1,-0.13385,51.514472
172,1,-0.133725,51.514504
173,1,-0.133745,51.514546
174,4,-0.133676,51.514561
175,1,-0.133563,51.514594
176,2,-0.133467,51.514581
177,1,-0.133393,51.514606
178,1,-0.134474,51.515834
179,1,-0.135259,51.515195
180,1,-0.135395,51.515149
181,1,-0.136022,51.514818
182,3,-0.136804,51.514843
183,1,-0.136583,51.514914
184,1,-0.135653,51.514496
185,2,-0.135578,51.514743
186,1,-0.13486,51.514467
187,1,-0.13469,51.514453
188,1,-0.134818,51.514845
189,1,-0.135704,51.514389
190,1,-0.135561,51.514399
191,2,-0.135649,51.514335
192,1,-0.135415,51.514224
193,1,-0.135576,51.51422
194,2,-0.135357,51.514145
195,3,-0.135475,51.514108
196,2,-0.136226,51.514359
197,1,-0.136328,51.514326
198,1,-0.136222,51.514544
199,1,-0.136117,51.514569
200,1,-0.13603,51.514586
201,1,-0.136266,51.514612
202,2,-0.136421,51.514575
203,3,-0.136935,51.514507
204,3,-0.136931,51.514274
205,1,-0.136799,51.514293
206,1,-0.13678,51.514058
207,3,-0.136696,51.514148
208,1,-0.136712,51.513961
209,1,-0.136123,51.514027
210,1,-0.135958,51.514076
211,1,-0.135883,51.514096
212,2,-0.135788,51.514134
213,2,-0.135849,51.514033
214,4,-0.136008,51.513996
215,5,-0.136099,51.51396
216,2,-0.13617,51.513945
217,5,-0.135485,51.513821
218,5,-0.135374,51.513999
219,3,-0.135582,51.513795
220,3,-0.135679,51.513766
221,1,-0.135814,51.513726
222,5,-0.135905,51.513692
223,4,-0.135992,51.513672
224,4,-0.136217,51.513603
225,1,-0.136579,51.513482
226,4,-0.136675,51.513458
227,1,-0.136764,51.513429
228,3,-0.136877,51.513404
229,2,-0.136953,51.513359
230,1,-0.13723,51.513378
231,2,-0.136651,51.513855
232,1,-0.136503,51.513875
233,1,-0.137367,51.513565
234,2,-0.137422,51.513616
235,3,-0.137472,51.513742
236,1,-0.1383,51.513918
237,1,-0.137363,51.513772
238,4,-0.137995,51.513502
239,2,-0.138139,51.513712
240,2,-0.138239,51.513644
241,1,-0.138272,51.513711
242,5,-0.138083,51.514061
243,3,-0.137912,51.514748
244,2,-0.137707,51.514794
245,3,-0.137108,51.514526
246,2,-0.137065,51.514706
247,1,-0.138474,51.512311
248,1,-0.138123,51.511998
249,1,-0.137762,51.511856
