subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,author_id,reviewer_id,comment
mimic:225464,Cardioversion/Defibrillation,skos:closeMatch,snomed:281572005,Direct current cardiac shock,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:226236,Temporary Pacemaker Wires Discontinued,skos:closeMatch,snomed:77326008,Removal of pacemaker electrode leads without replacement,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:228127,Family met with Social Worker,skos:closeMatch,snomed:22759000,Social service interview of family,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229526,MAC,skos:closeMatch,snomed:233527006,Central venous cannula insertion,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225817,BAL Fluid Culture,skos:closeMatch,snomed:782971002,Bronchoalveolar lavage,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229516,Single Lumen,skos:broadMatch,snomed:233527006,Central venous cannula insertion,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225433,Chest Tube Placed,skos:closeMatch,snomed:264957007,Insertion of pleural tube drain,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:224272,IABP line,skos:closeMatch,snomed:16965008,Insertion of intra-aortic balloon counterpulsation,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:228130,NEOB notified,skos:closeMatch,snomed:450432001,Verification of organ donation status,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225430,Cardiac Cath,skos:closeMatch,snomed:34945008,Angiocardiography,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225399,Lumbar Puncture,skos:closeMatch,snomed:277762005,Lumbar puncture,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225427,Angiography,skos:closeMatch,snomed:77343006,Angiography,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229532,Indwelling Port,skos:closeMatch,snomed:266765001,Indwelling catheter inserted,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:224566,14 Gauge,skos:closeMatch,snomed:233520008,Peripheral venous cannula insertion,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:227719,AVA,skos:closeMatch,snomed:233527006,Central venous cannula insertion,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225445,Paracentesis,skos:closeMatch,snomed:89305009,Abdominal paracentesis,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229614,EEG (Continuous),skos:closeMatch,snomed:252736007,Continuous processed EEG,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225468,Unplanned Extubation (patient-initiated),skos:closeMatch,snomed:405639008,Inadvertent tracheal extubation,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225440,Fluoroscopy,skos:closeMatch,snomed:44491008,Fluoroscopy,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:226124,ICP Catheter,skos:closeMatch,snomed:230940006,Introduction of intracranial pressure catheter,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225805,Peritoneal Dialysis,skos:closeMatch,snomed:71192002,Peritoneal dialysis,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:224268,Trauma line,skos:closeMatch,snomed:233527006,Central venous cannula insertion,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225479,Thoracentesis,skos:closeMatch,snomed:91602002,Thoracentesis,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225448,Percutaneous Tracheostomy,skos:closeMatch,snomed:307007002,Percutaneous tracheostomy,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225466,Cardiac Arrest,skos:closeMatch,snomed:410429000,Cardiac arrest,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:228286,Intraosseous Device,skos:closeMatch,snomed:430824005,Intraosseous cannulation,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229298,Speech and Swallow Evaluation,skos:narrowMatch,snomed:26342005,"Medical evaluation for speech, language and/or hearing problems",HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:227550,ERCP (Travel to),skos:closeMatch,snomed:386718000,Endoscopic retrograde cholangiopancreatography,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225446,PEG Insertion,skos:closeMatch,snomed:235159007,Percutaneous endoscopic gastrostomy,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225443,Nuclear Medicine,skos:closeMatch,snomed:371572003,Nuclear medicine procedure,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229380,Nursing Water Swallow Screening,skos:closeMatch,snomed:440363007,Evaluation of oral and pharyngeal swallowing function,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:225816,Wound Culture,skos:closeMatch,snomed:401294003,"Wound microscopy, culture and sensitivities",HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:228715,Transcranial Doppler,skos:closeMatch,snomed:431648005,Transcranial doppler ultrasonography,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225434,Colonoscopy,skos:closeMatch,snomed:73761001,Colonoscopy,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225315,Tunneled (Hickman) Line,skos:closeMatch,snomed:442309004,Insertion of tunneled venous catheter,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229582,Portable CT scan,skos:broadMatch,snomed:77477000,Computerized axial tomography,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225465,Chest Pain,skos:closeMatch,snomed:29857009,Chest pain,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229578,Cath Lab (Sent),skos:broadMatch,snomed:45211000,Catheterization,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225447,Percutaneous Drain Insertion,skos:closeMatch,snomed:122462000,Drainage procedure,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225437,CSF Culture,skos:closeMatch,snomed:104174003,Microbial culture of cerebrospinal fluid,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229575,Travel to Radiology,skos:closeMatch,snomed:308461008,Referral to radiology service,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:227551,Plasma Pheresis.,skos:closeMatch,snomed:20720000,Plasmapheresis,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:227711,Drain Removed,skos:closeMatch,snomed:241031001,Removal of drain,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229577,Cath Lab (Received),skos:closeMatch,snomed:45211000,Catheterization,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229366,Epoprostenol (Inhaled),skos:broadMatch,snomed:64287005,"Inhalation anesthesia, machine system, semi-closed, circulation of primary agent and gases",HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225436,CRRT Filter Change,skos:broadMatch,snomed:373188003,Replacement procedure,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:228136,Family notified of transfer,skos:closeMatch,snomed:711066004,Liaising with family,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225821,Unplanned Line/Catheter Removal (Patient Initiated),skos:closeMatch,snomed:439377004,Accidental removal of catheter,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229519,EVD #1,skos:closeMatch,snomed:304846008,External subdural drain procedure,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225820,C-Spine Clearance,skos:closeMatch,snomed:284405008,Examination of cervical spine,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225205,RIC,skos:closeMatch,snomed:233520008,Peripheral venous cannula insertion,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:226476,Esophogeal Balloon,skos:closeMatch,snomed:173676001,Intubation of esophagus for pressure manometry,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229579,Transfer Intercampus by Ambulance,skos:broadMatch,snomed:716733008,Provision of ambulance with stretcher facility,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:226475,Intraventricular Drain Inserted,skos:closeMatch,snomed:446523001,Insertion of catheter into brain ventricle,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225450,Radiation Therapy,skos:closeMatch,snomed:53438000,Radiation therapy procedure or service,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225203,Pheresis Catheter,skos:closeMatch,snomed:432019001,Insertion of tunneled central venous catheter using fluoroscopic guidance,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229755,Trigger Initiated,skos:broadMatch,snomed:819231000000105,Reporting of significant event,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:228169,Impella Line,skos:closeMatch,snomed:700151002,Temporary implantation of left ventricular assist device,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229525,Sheath (Arterial),skos:broadMatch,snomed:422744007,Arterial catheter care,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:227713,Epidural Placement,skos:closeMatch,snomed:18946005,Epidural anesthesia,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:224273,Presep Catheter,skos:closeMatch,snomed:65677008,Pulmonary catheterization with Swan-Ganz catheter,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229501,Small Bore Nasal Enteral Tube Placement,skos:broadMatch,snomed:87750000,Insertion of nasogastric tube,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:227715,TLS Clearance,skos:closeMatch,snomed:284394000,Examination of spine,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:226477,Temporary Pacemaker Wires Inserted,skos:closeMatch,snomed:281556002,Insertion of temporary cardiac pacemaker,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229531,Tunneled Access Line,skos:closeMatch,snomed:442309004,Insertion of tunneled venous catheter,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:229468,24 Gauge,skos:closeMatch,snomed:233520008,Peripheral venous cannula insertion,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225406,Transferred to Floor,skos:broadMatch,snomed:371754007,Discharge planning,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:228126,Family met with Case Manager,skos:closeMatch,snomed:22759000,Social service interview of family,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225475,Respiratory Arrest,skos:closeMatch,snomed:87317003,Respiratory arrest,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225967,Rectal Swab,skos:closeMatch,snomed:258528007,Rectal swab,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225819,Brain Death,skos:closeMatch,snomed:398205000,Diagnosis of brainstem death,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229585,Surgical Procedure at Bedside,skos:broadMatch,snomed:387713003,Surgical procedure,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:226474,ICP Bolt Inserted,skos:closeMatch,snomed:230938001,Introduction of intracranial pressure measuring device,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229524,Lumbar Drain,skos:broadMatch,snomed:738769004,Insertion of cerebrospinal fluid drain,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:225474,Fall,skos:closeMatch,snomed:1912002,Fall,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225467,Chest Opened,skos:closeMatch,snomed:177765008,Opening of chest,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:221219,Venogram,skos:closeMatch,snomed:4970003,Venography,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225477,Unplanned Extubation (non-patient initiated),skos:closeMatch,snomed:405639008,Inadvertent tracheal extubation,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225199,Triple Introducer,skos:closeMatch,snomed:233527006,Central venous cannula insertion,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225460,Cervical Spine,skos:closeMatch,snomed:414458006,Imaging of spine,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:228201,Tandem Heart Inflow Line,skos:closeMatch,snomed:700151002,Temporary implantation of left ventricular assist device,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:227714,Pericardial Drain Removed,skos:closeMatch,snomed:241031001,Removal of drain,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229523,Subdural Drain,skos:closeMatch,snomed:304846008,External subdural drain procedure,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:228202,Tandem Heart Outflow Line,skos:closeMatch,snomed:700151002,Temporary implantation of left ventricular assist device,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229529,ECMO Inflow Line,skos:broadMatch,snomed:440001000,Insertion of vascular cannula for prolonged extracorporeal circulation,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:229586,VAC Change,skos:broadMatch,snomed:404915007,Vacuum assisted skin closure,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:225476,Unplanned Line/Catheter Removal (Non-Patient initated),skos:closeMatch,snomed:439377004,Accidental removal of catheter,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229530,ECMO Outflow Line,skos:broadMatch,snomed:440001000,Insertion of vascular cannula for prolonged extracorporeal circulation,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:225429,Blakemore / MinnesotaTube Inserted,skos:closeMatch,snomed:173679008,Balloon tamponade of esophagus using Sengstaken-Blakemore tube,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225442,Liver Biopsy,skos:closeMatch,snomed:86259008,Biopsy of liver,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225449,Pericardiocentesis,skos:closeMatch,snomed:309849004,Pericardiocentesis,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:225461,Pelvis,skos:closeMatch,snomed:715959009,Imaging of pelvis,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229514,EKOS,skos:closeMatch,snomed:432093004,Intravascular ultrasound thrombolysis using fluoroscopic guidance with contrast,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229584,EMG,skos:closeMatch,snomed:42803009,Electromyography,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225472,Pneumothorax,skos:closeMatch,snomed:36118008,Pneumothorax,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:226237,Open Tracheostomy,skos:closeMatch,snomed:43988005,Temporary tracheostomy,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:228228,"Family meeting attempted, unable",skos:closeMatch,snomed:711070007,Coordination of family conference,HumanCurated,,"orcid:0000-0001-8822-1884,0000-0002-9348-9284",
mimic:229620,Massive Transfusion,skos:closeMatch,snomed:277360004,Massive blood transfusion,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229520,EVD #2,skos:closeMatch,snomed:304846008,External subdural drain procedure,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229521,ICP - PbtO2,skos:narrowMatch,snomed:230938001,Introduction of intracranial pressure measuring device,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:225463,TLS Spine,skos:closeMatch,snomed:414458006,Imaging of spine,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225428,Blakemore / Minnesota Tube D/C,skos:broadMatch,snomed:173679008,Balloon tamponade of esophagus using Sengstaken-Blakemore tube,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229576,ERCP (Done in unit),skos:broadMatch,snomed:386718000,Endoscopic retrograde cholangiopancreatography,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229517,Multi Lumen Cooling Catheter,skos:broadMatch,snomed:241741007,Active cooling of patient,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:229527,Centrimag Inflow Line,skos:broadMatch,snomed:440001000,Insertion of vascular cannula for prolonged extracorporeal circulation,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:229528,Centrimag Outflow Line,skos:broadMatch,snomed:440001000,Insertion of vascular cannula for prolonged extracorporeal circulation,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:229518,ICP - Camino,skos:broadMatch,snomed:230938001,Introduction of intracranial pressure measuring device,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:229515,Avalon/Protek Duo,skos:broadMatch,snomed:440001000,Insertion of vascular cannula for prolonged extracorporeal circulation,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:229522,SEPS (Subdural Evacuating Port System),skos:closeMatch,snomed:171721007,Drainage of subdural space,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:225818,Pleural Fluid Culture,skos:broadMatch,snomed:61594008,Microbial culture,HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
mimic:225803,Dialysis - CVVHD,skos:closeMatch,snomed:233580005,Continuous venovenous hemodialysis,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225809,Dialysis - CVVHDF,skos:closeMatch,snomed:233590002,Continuous venovenous hemodiafiltration,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:225955,Dialysis - SCUF,skos:closeMatch,snomed:182750009,Ultrafiltration,HumanCurated,orcid:0000-0001-8822-1884,orcid:0000-0002-9348-9284,
mimic:229983,Isoflurane (Inhaled),skos:broadMatch,snomed:64287005,"Inhalation anesthesia, machine system, semi-closed, circulation of primary agent and gases",HumanCurated,orcid:0000-0002-9348-9284,orcid:0000-0001-8822-1884,
