itemid,label,class,ordercategorydescription,amountuom,omop_conceptid,rxnorm,author_id,reviewer_id,itemid_version,mapping_date,confidence,comment,row_count
222011,Magnesium Sulfate,Clinical Drug Form,Continuous IV,grams,46275855,1656665,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,76199
225152,Heparin Sodium,Clinical Drug Form,Continuous Med,units,1718457,1857598,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,72645
225154,Morphine Sulfate,Clinical Drug Form,Drug Push,mg,35604830,1728776,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,"Morphine is repeated in row 79 with the same itemid but as ""Continuous Med"". Should we map it to the same concept_id or use the concept_id in the link? Link: https://athena.ohdsi.org/search-terms/terms/40061548",70873
221456,Calcium Gluconate,Clinical Drug Form,Continuous IV,grams,35603394,1668247,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,65073
225893,Piperacillin/Tazobactam (Zosyn),Branded Drug Form,Drug Push,dose,46275429,1659133,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,63410
225851,Cefepime,Clinical Drug Form,Drug Push,dose,46287348,1665087,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,62852
225974,Metoprolol,Clinical Drug Form,Drug Push,mg,35605509,1740909,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,61917
221668,Midazolam (Versed),Branded Drug Form,Drug Push,mg,40064208,94517,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,Row 25 and row 30 are mapped to the same concept_id since both have the same itemid in MIMC and because this is the best option I can find on Athena. Link: https://athena.ohdsi.org/search-terms/terms?vocabulary=RxNorm&standardConcept=Standard&domain=Drug&page=1&pageSize=100&query=Versed&sort=concept_id&order=asc&boosts,59883
225907,Famotidine (Pepcid),Branded Drug Form,Drug Push,dose,40036961,362696,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,58512
229420,Dexmedetomidine (Precedex),Branded Drug Form,Continuous Med,mcg,35603038,1718901,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,56683
225884,Metronidazole,Clinical Drug Form,Drug Push,dose,1592855,1863330,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,56415
227523,Magnesium Sulfate (Bolus),Clinical Drug Form,Continuous IV,ml,46275855,1656665,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,54446
221668,Midazolam (Versed),Branded Drug Form,Continuous Med,mg,40064208,94517,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,54311
227536,KCl (CRRT),Clinical Drug Form,Continuous Med,mEq.,1718692,1860131,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,54053
225910,Pantoprazole (Protonix),Branded Drug Form,Drug Push,dose,35604332,1737589,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,52506
225150,Dexmedetomidine (Precedex),Branded Drug Form,Continuous Med,mcg,35603038,1718901,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,47241
228315,Acetaminophen-IV,Clinical Drug Form,Drug Push,mg,40220874,1803956,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,40653
225850,Cefazolin,Clinical Drug Form,Drug Push,dose,46287337,1665049,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,39632
225883,Meropenem,Clinical Drug Form,Drug Push,dose,35606000,1722933,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,39498
221385,Lorazepam (Ativan),Branded Drug Form,Drug Push,mg,46287373,1665189,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,39388
222042,Nicardipine,Clinical Drug Form,Continuous Med,mg,42628857,1791339,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,39358
227525,Calcium Gluconate (CRRT),Clinical Drug Form,Continuous Med,grams,35603394,1668247,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,35916
229630,Phenylephrine (50/250),Clinical Drug Form,Continuous Med,mg,40074086,373369,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,35766
227526,Citrate,Clinical Drug Form,Continuous IV,mmol,40100890,375634,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,33228
227529,ACD-A Citrate (1000ml),Clinical Drug,Continuous IV,ml,43531812,1425457,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,Deprecated RxNorm Code,32425
221828,Hydralazine,Clinical Drug Form,Drug Push,mg,1592857,1863334,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,31894
223260,Insulin - Glargine,Clinical Drug Form,Drug Push,units,40051347,378864,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,31701
228315,Acetaminophen-IV,Clinical Drug Form,Continuous Med,mg,40220874,1803956,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,27748
222315,Vasopressin,Clinical Drug Form,Continuous Med,units,35201749,2103181,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,27197
221289,Epinephrine,Clinical Drug Form,Continuous Med,mg,46275915,1660013,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,25687
221794,Furosemide (Lasix),Branded Drug Form,Continuous Med,mg,40040332,287524,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,21034
228340,Furosemide (Lasix) 250/50,Clinical Drug,Continuous Med,mg,19027327,204154,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,19752
225855,Ceftriaxone,Clinical Drug Form,Drug Push,dose,46287316,1664992,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,18140
221662,Dopamine,Clinical Drug Form,Continuous Med,mg,35606558,1743862,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,17756
225859,Ciprofloxacin,Clinical Drug Form,Drug Push,dose,46287381,1665209,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,16471
225153,Labetalol,Clinical Drug Form,Drug Push,mg,739771,2477888,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,16340
221555,Cisatracurium,Clinical Drug Form,Continuous Med,mg,35605392,1730193,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,14688
221824,Haloperidol (Haldol),Branded Drug Form,Drug Push,mg,35603242,1719668,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,14178
221429,Esmolol,Clinical Drug Form,Continuous Med,mg,35603869,1736540,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,13641
221744,Fentanyl,Clinical Drug Form,Continuous Med,mg,35603427,1735002,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,11894
221468,Diltiazem,Clinical Drug Form,Continuous Med,mg,42629594,1791228,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,11717
225888,Nafcillin,Clinical Drug Form,Drug Push,dose,35605335,1721457,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,11688
225833,Thiamine,Clinical Drug Form,Continuous IV,mg,40091031,370492,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,11416
225892,Piperacillin,Clinical Drug Form,Drug Push,dose,40077149,373467,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,11395
229624,Nicardipine 40mg/200,Quant Clinical Drug,Continuous Med,mg,40165068,858603,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,10902
225842,Ampicillin,Clinical Drug Form,Drug Push,dose,35605339,1721470,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,10193
228316,Levetiracetam (Keppra),Branded Drug Form,Drug Push,mg,42629457,1790332,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,10048
221986,Milrinone,Clinical Drug Form,Continuous Med,mg,42628988,1791839,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,10010
225853,Ceftazidime,Clinical Drug Form,Drug Push,dose,46275510,1659277,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,9796
225798,Vancomycin,Clinical Drug Form,Non Iv Meds,dose,40087253,374281,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,Non Iv = Oral Capsule?,9367
220995,Sodium Bicarbonate 8.4%,Clinical Drug,Continuous IV,mEq,1593967,1868487,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,9264
225834,K Phos,Clinical Drug Form,Continuous IV,mmol,40101380,152998,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,9248
221653,Dobutamine,Clinical Drug Form,Continuous Med,mg,1719036,1812167,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,8890
225837,Acyclovir,Clinical Drug Form,Drug Push,dose,35606520,1734931,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,8728
225152,Heparin Sodium,Clinical Drug Form,Drug Push,units,1718457,1857598,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,8284
225843,Ampicillin/Sulbactam (Unasyn),Branded Drug Form,Drug Push,dose,46275618,1659594,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,8188
225910,Pantoprazole (Protonix),Branded Drug Form,Continuous Med,mg,35604332,1737589,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,8072
228339,Amiodarone 600/500,Clinical Drug,Continuous Med,mg,19135750,849874,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,8033
221833,Hydromorphone (Dilaudid),Branded Drug Form,Continuous Med,mg,35603598,1724273,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,7906
222051,Nitroprusside,Clinical Drug Form,Continuous Med,mg,46287576,1666592,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,7782
225153,Labetalol,Clinical Drug Form,Continuous Med,mg,739771,2477888,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,7695
225154,Morphine Sulfate,Clinical Drug Form,Continuous Med,mg,35604830,1728776,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,7692
223259,Insulin - NPH,Clinical Drug Form,Drug Push,units,40051363,378928,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,7390
229632,Phenylephrine (200/250),Clinical Drug Form,Continuous Med,mg,40074086,373369,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,7347
227689,Dilantin,Clinical Drug Form,Drug Push,mg,35602774,1670350,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,No Branded Drug Form,7028
225881,Linezolid,Clinical Drug Form,Drug Push,dose,46276318,1662277,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,6782
228316,Levetiracetam (Keppra),Branded Drug Form,Continuous Med,mg,42629457,1790332,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,6670
225911,Ranitidine (Prophylaxis),Clinical Drug Form,Drug Push,dose,1718654,1859541,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,6551
225835,Na Phos,Clinical Drug Form,Continuous IV,mmol,1592538,1872383,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,6447
225860,Clindamycin,Clinical Drug Form,Drug Push,dose,35604109,1737230,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,5862
229072,Ketorolac (Toradol),Branded Drug Form,Drug Push,mg,40048832,363077,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,5214
225879,Levofloxacin,Clinical Drug Form,Drug Push,dose,46287433,1665494,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,5016
229420,Dexmedetomidine (Precedex),Branded Drug Form,Continuous Med,mg,35603038,1718901,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,4945
229234,Clevidipine (Cleviprex),Branded Drug Form,Continuous Med,mg,42629415,1790241,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,4910
221468,Diltiazem,Clinical Drug Form,Drug Push,mg,42629594,1791228,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,4890
225885,Micafungin,Clinical Drug Form,Drug Push,dose,35606010,1722943,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,4867
221347,Amiodarone,Clinical Drug Form,Continuous Med,mg,46276332,1663223,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,4787
221347,Amiodarone,Clinical Drug Form,Drug Push,mg,46276332,1663223,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,4652
225155,Octreotide,Clinical Drug Form,Continuous Med,mcg,46234192,1654342,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,4559
221623,Diazepam (Valium),Branded Drug Form,Drug Push,mg,40035912,94483,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,4445
225869,Fluconazole,Clinical Drug Form,Drug Push,dose,35605308,1721309,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,4360
227690,Fosphenytoin,Clinical Drug Form,Drug Push,mg,35602746,1670194,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,4126
225845,Azithromycin,Clinical Drug Form,Drug Push,dose,35603388,1668237,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,3889
225909,Lansoprazole (Prevacid),Branded Drug Form,Drug Push,dose,40123804,545785,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,3696
225906,Enoxaparin (Lovenox),Branded Drug Form,Drug Push,dose,40042753,362788,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,3690
227694,Omeprazole (Prilosec),Clinical Drug Form,Drug Push,dose,40069724,375193,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,No Branded Drug Form,3612
225832,Folic Acid,Clinical Drug Form,Continuous IV,mg,40131910,619047,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,3571
221712,Ketamine,Clinical Drug Form,Continuous Med,mg,40054021,372528,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,3470
229616,Ondansetron (Zofran),Branded Drug Form,Drug Push,mg,40070101,94648,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,3283
225899,Bactrim (SMX/TMP),Branded Drug Form,Drug Push,dose,40081376,403106,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,3261
229654,Amiodarone 450/250,Clinical Drug Form,Continuous Med,mg,46276332,1663223,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,3246
225847,Aztreonam,Clinical Drug Form,Drug Push,dose,46287306,1664980,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,3046
225798,Vancomycin,Clinical Drug Form,Drug Push,mg,40221349,1807507,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,2997
229070,Glycopyrolate (Robinul),Branded Drug Form,Drug Push,mg,35605662,1731583,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,2959
225147,Argatroban,Clinical Drug Form,Continuous Med,mg,40220924,1804730,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,2847
225863,Daptomycin,Clinical Drug Form,Drug Push,dose,35605612,1731096,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,2452
227535,Vitamin K (Phytonadione),Clinical Drug Form,Continuous IV,mg,40092695,378846,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,No Branded Drug Form,2433
225875,Gentamicin,Clinical Drug Form,Drug Push,dose,1594391,1870244,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,2386
225913,Coumadin (Warfarin),Branded Drug Form,Drug Push,dose,40093131,92279,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,2383
225851,Cefepime,Clinical Drug Form,Drug Push,grams,46287348,1665087,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,2332
229640,Calcium Gluconate (Bolus),Clinical Drug Form,Continuous IV,ml,35603394,1668247,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,2295
227531,Mannitol,Clinical Drug Form,Continuous Med,grams,42628878,1791383,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,2153
229071,Neostigmine (Prostigmin),Branded Drug Form,Drug Push,mg,40072349,362807,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,2106
225884,Metronidazole,Clinical Drug Form,Non Iv Meds,dose,40062617,372895,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,Non Iv = Oral Capsule?,2074
223258,Insulin - Regular,Clinical Drug Form,Continuous IV,units,1361259,2179743,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,2027
225155,Octreotide,Clinical Drug Form,Continuous Med,mg,46234192,1654342,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,2020
225890,Penicillin G potassium,Clinical Drug Form,Drug Push,dose,35603085,1719795,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1868
227520,Methadone Hydrochloride,Clinical Drug Form,Drug Push,mg,40063779,372807,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1850
225902,Tobramycin,Clinical Drug Form,Drug Push,dose,35605484,1740474,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1726
225973,Meperidine (Demerol),Branded Drug Form,Drug Push,mg,46287468,1665686,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1685
229233,Rocuronium,Clinical Drug Form,Continuous Med,mg,40080661,375623,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1622
225876,Imipenem/Cilastatin,Clinical Drug Form,Drug Push,dose,35604058,1726203,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1543
225859,Ciprofloxacin,Clinical Drug Form,Non Iv Meds,dose,40028726,371525,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,Non Iv = Oral Tablet?,1446
225899,Bactrim (SMX/TMP),Branded Drug Form,Non Iv Meds,dose,40081391,369244,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1377
225905,Voriconazole,Clinical Drug Form,Drug Push,dose,35604631,1727280,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1375
225865,Doxycycline,Clinical Drug Form,Drug Push,dose,46233979,1652652,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1360
225884,Metronidazole,Clinical Drug Form,Drug Push,mg,1592855,1863330,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1354
229597,Heparin Sodium (Impella),Clinical Drug Form,Continuous Med,units,1718457,1857598,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1353
225837,Acyclovir,Clinical Drug Form,Non Iv Meds,dose,40006515,370537,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,Non Iv = Oral Tablet?,1347
225150,Dexmedetomidine (Precedex),Branded Drug Form,Continuous Med,mg,35603038,1718901,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1333
229639,Bumetanide (Bumex),Branded Drug Form,Continuous Med,mg,40014780,92041,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1325
225148,Bivalirudin (Angiomax),Branded Drug Form,Continuous Med,mg,46275132,1657994,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1324
225912,Carafate (Sucralfate),Branded Drug Form,Drug Push,dose,40080155,369284,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,No Iv Form,1279
225151,Eptifibatide (Integrilin),Branded Drug Form,Continuous Med,mg,35603861,1736471,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1217
221555,Cisatracurium,Clinical Drug Form,Drug Push,mg,35605392,1730193,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1189
225850,Cefazolin,Clinical Drug Form,Drug Push,grams,46287337,1665049,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1163
225945,Lidocaine,Clinical Drug Form,Continuous Med,mg,35604127,1737342,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1124
225883,Meropenem,Clinical Drug Form,Drug Push,mg,35606000,1722933,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1040
229057,Acetylcysteine,Clinical Drug Form,Continuous Med,mg,35606334,1742774,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1030
229233,Rocuronium,Clinical Drug Form,Drug Push,mg,40080661,375623,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1022
229069,Digoxin (Lanoxin),Branded Drug Form,Drug Push,mg,35606376,1743560,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,1010
225845,Azithromycin,Clinical Drug Form,Non Iv Meds,mg,40013068,370976,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,Non Iv = Oral Tablet?,990
225798,Vancomycin,Clinical Drug Form,Drug Push,grams,40221349,1807507,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,970
229299,Insulin - Novolog,Branded Drug Form,Drug Push,units,40051316,363534,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,947
225156,Pentobarbital,Clinical Drug Form,Continuous Med,mg,40067571,373282,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,826
225838,Ambisome,Branded Drug Form,Drug Push,dose,37499293,2285809,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,11/30/2021,,,823
