itemid (omop_source_code),label,omop_concept_id,omop_concept_name,omop_domain_id,omop_vocabulary_id,omop_concept_class_id,omop_standard_concept,omop_concept_code,sssom_author_id,sssom_reviewer_id,sssom_subject_source_version,common_vocabulary_version,sssom_mapping_tool,sssom_mapping_date,sssom_confidence,sssom_comment
,3rd AV (Complete Heart Block),45884786,AV block-3rd degree,Meas Value,LOINC,Answer,S,LA17089-6,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
,SVT (Supra Ventricular Tachycardia),45883894,Supraventricular tachycardia,Meas Value,LOINC,Answer,S,LA17100-1,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
,2nd AV W-M1 (Second degree AV Block Wenckebach - Mobitz1),45884785,AV block-2nd degree-type 1,Meas Value,LOINC,Answer,S,LA17087-0,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
,1st AV (First degree AV Block),314379,First degree atrioventricular block,Condition,SNOMED,Clinical Finding,S,270492004,0000-0002-9348-9284,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,2nd AV W-M1 (Second degree AV Block Wenckebach - Mobitz1),4064459,Mobitz type I second degree atrioventricular block on electrocardiogram,Condition,SNOMED,Clinical Finding,S,164905008,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,3rd AV (Complete Heart Block),4064874,EKG: complete atrioventricular block,Condition,SNOMED,Clinical Finding,S,164906009,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,A Flut (Atrial Flutter),4065288,EKG: atrial flutter,Condition,SNOMED,Clinical Finding,S,164890007,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,A Paced,4089488,Atrial pacing pattern,Condition,SNOMED,Clinical Finding,S,251268003,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,AF (Atrial Fibrillation),4064452,ECG: atrial fibrillation,Condition,SNOMED,Clinical Finding,S,164889003,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,AV Paced,4088998,AV sequential pacing pattern,Condition,SNOMED,Clinical Finding,S,251267008,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,JR (Junctional Rhythm),4140001,ECG: junctional rhythm,Condition,SNOMED,Clinical Finding,S,426307007,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,LBBB (Left Bundle Branch Block),4064614,EKG: left bundle branch block,Condition,SNOMED,Clinical Finding,S,164909002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,RBBB (Right Bundle Branch Block),4064460,EKG: right bundle branch block,Condition,SNOMED,Clinical Finding,S,164907000,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,SA (Sinus Arrhythmia),4141820,ECG: sinus arrhythmia,Condition,SNOMED,Clinical Finding,S,427393009,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,SB (Sinus Bradycardia),4138456,ECG: sinus bradycardia,Condition,SNOMED,Clinical Finding,S,426177001,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,SR (Sinus Rhythm),4145513,ECG: sinus rhythm,Condition,SNOMED,Clinical Finding,S,426783006,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,ST (Sinus Tachycardia),4140598,ECG: sinus tachycardia,Condition,SNOMED,Clinical Finding,S,427084000,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,SVT (Supra Ventricular Tachycardia),4145510,EKG: supraventricular tachycardia,Condition,SNOMED,Clinical Finding,S,426761007,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
,V Paced,4092038,Ventricular pacing pattern,Condition,SNOMED,Clinical Finding,S,251266004,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
