itemid (omop_source_code),label,omop_concept_id,omop_concept_name,omop_domain_id,omop_vocabulary_id,omop_concept_class_id,omop_standard_concept,omop_concept_code,sssom_author_id,sssom_reviewer_id,sssom_subject_source_version,common_vocabulary_version,sssom_mapping_tool,sssom_mapping_date,sssom_confidence,sssom_comment
225367,Pheresis Catheter Cap Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225368,Pheresis Catheter Change over Wire Date,4141149,Open insertion of central venous catheter,Procedure,SNOMED,Procedure,S,265546000,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225369,Pheresis Catheter Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225370,Pheresis Catheter Insertion Date,4141149,Open insertion of central venous catheter,Procedure,SNOMED,Procedure,S,265546000,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225372,Pheresis Catheter Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225375,Indwelling Port (PortaCath) Cap Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225378,Indwelling Port (PortaCath) Insertion Date,4197894,Insertion of implantable venous access port,Procedure,SNOMED,Procedure,S,80402001,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225380,Indwelling Port (PortaCath)Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225383,Presep Catheter Cap Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225384,Presep Catheter Change over Wire Date,4141149,Open insertion of central venous catheter,Procedure,SNOMED,Procedure,S,265546000,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225385,Presep Catheter Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225386,Presep Catheter Insertion Date,4141149,Open insertion of central venous catheter,Procedure,SNOMED,Procedure,S,265546000,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225390,Presep Catheter Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225391,Triple Introducer Cap Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225392,Triple Introducer Change over Wire Date,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225393,Triple Introducer Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225394,Triple Introducer Insertion Date,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225396,Triple Introducer Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225753,22 Gauge Insertion Date,42536500,Insertion of catheter into peripheral vein,Procedure,SNOMED,Procedure,S,735414004,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225754,20 Gauge Insertion Date,42536500,Insertion of catheter into peripheral vein,Procedure,SNOMED,Procedure,S,735414004,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225755,18 Gauge Insertion Date,42536500,Insertion of catheter into peripheral vein,Procedure,SNOMED,Procedure,S,735414004,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225756,16 Gauge Insertion Date,42536500,Insertion of catheter into peripheral vein,Procedure,SNOMED,Procedure,S,735414004,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225757,14 Gauge Insertion Date,42536500,Insertion of catheter into peripheral vein,Procedure,SNOMED,Procedure,S,735414004,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225758,RIC Insertion Date,4141149,Open insertion of central venous catheter,Procedure,SNOMED,Procedure,S,265546000,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225762,Sheath Cap Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225763,Sheath Change over Wire Date,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225765,Sheath Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225766,Sheath Insertion Date,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
225769,Sheath Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
226126,ICP Line Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
226128,ICP Line Insertion Date,4048955,Introduction of intracranial pressure catheter,Procedure,SNOMED,Procedure,S,230940006,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
226132,ICP Line Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
226515,Date of Birth,3022007,Birth date,Observation,LOINC,Clinical Observation,S,21112-8,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
226532,Organ Bank Notified,,,,,,,,,,,,,,,
226719,Last menses,3002314,Last menstrual period start date,Observation,LOINC,Clinical Observation,S,8665-2,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
226724,Hospital Admit Date,3023170,Hospital admission date,Observation,LOINC,Clinical Observation,S,8656-1,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
227126,Indwelling (PortaCath) Port #1 Date Accessed,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227197,Indwelling (PortaCath) Port #2 Date Accessed,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227198,Indwelling (PortaCath) Port #1 Date De-accessed,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227199,Indwelling (PortaCath) Port #2 Date De-accessed,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227361,Indwelling (PortaCath) Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227541,SvO2 Calibrated,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227542,ScvO2 (Presep) Calibrated,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227584,GU Catheter D/C Date,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227720,AVA Cap Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227721,AVA Change over Wire Date,4141149,Open insertion of central venous catheter,Procedure,SNOMED,Procedure,S,265546000,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227722,AVA Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227724,AVA Insertion Date,4141149,Open insertion of central venous catheter,Procedure,SNOMED,Procedure,S,265546000,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227729,AVA Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227790,Impaired Skin  - Dressing Change #1,4078224,Change of dressing,Procedure,SNOMED,Procedure,S,18949003,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227791,Impaired Skin  - Dressing Change #2,4078224,Change of dressing,Procedure,SNOMED,Procedure,S,18949003,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227792,Impaired Skin  - Dressing Change #3,4078224,Change of dressing,Procedure,SNOMED,Procedure,S,18949003,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227793,Impaired Skin  - Dressing Change #4,4078224,Change of dressing,Procedure,SNOMED,Procedure,S,18949003,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227794,Impaired Skin  - Dressing Change #5,4078224,Change of dressing,Procedure,SNOMED,Procedure,S,18949003,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227795,Impaired Skin  - Dressing Change #6,4078224,Change of dressing,Procedure,SNOMED,Procedure,S,18949003,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227796,Impaired Skin  - Dressing Change #7,4078224,Change of dressing,Procedure,SNOMED,Procedure,S,18949003,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227797,Impaired Skin  - Dressing Change #8,4078224,Change of dressing,Procedure,SNOMED,Procedure,S,18949003,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227798,Impaired Skin  - Dressing Change #9,4078224,Change of dressing,Procedure,SNOMED,Procedure,S,18949003,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227800,Impaired Skin  - Dressing Change #10,4078224,Change of dressing,Procedure,SNOMED,Procedure,S,18949003,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
227817,Referral Date,40760321,Date of Referral,Observation,LOINC,Survey,S,57202-4,0000-0001-8822-1884,0000-0002-9348-9284,MIMIC-IV v2.0,2.72,https://loinc.org/search/,,,
227907,Date - Student,,,,,,,,,,,,,,,
227911,Date - Therapist,,,,,,,,,,,,,,,
228160,Impella Aortic Pressure Tubing Change,4275142,Implantation of heart assist system,Procedure,SNOMED,Procedure,S,64253000,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
228165,Impella Daily Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
228166,Impella Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
228168,Impella Insertion Date,4275142,Implantation of heart assist system,Procedure,SNOMED,Procedure,S,64253000,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
228207,Tandem Heart Access Line Dressing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
228209,Tandem Heart Access Line Insertion Date,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
228215,Tandem Heart Access Line Tubing Change,4078442,Catheter procedure,Procedure,SNOMED,Procedure,S,276272002,,"0000-0001-8822-1884,0000-0002-9348-9284",MIMIC-IV v2.0,,https://athena.ohdsi.org/,,,
