itemid,label,abbreviation,category,unitname,loinc,loinc_label,omop_id,count,author_id,reviewer_id
225309,ART BP Systolic,ART BP Systolic,Routine Vital Signs,mmHg,8480-6,Systolic blood pressure,3004249,110720,0000-0001-8822-1884,0000-0002-9348-9284
225310,ART BP Diastolic,ART BP Diastolic,Routine Vital Signs,mmHg,8462-4,Diastolic blood pressure,3012888,110704,0000-0001-8822-1884,0000-0002-9348-9284
223762,Temperature Celsius,Temperature C,Routine Vital Signs,Â°C,8310-5,Body temperature,3020891,85893,0000-0001-8822-1884,0000-0002-9348-9284
228640,EtCO2,EtCO2,Routine Vital Signs,None,19891-1,Carbon dioxide [Partial pressure] in Exhaled gas --at end expiration,3035357,51045,0000-0001-8822-1884,0000-0002-9348-9284
226329,Blood Temperature CCO (C),Blood Temp CCO (C),Routine Vital Signs,Â°C,60834-9,Blood temperature,21490586,16724,0000-0001-8822-1884,0000-0002-9348-9284
226531,Admission Weight (lbs.),Admission Weight (lbs.),General,None,29463-7,Body weight,3025315,14691,0000-0001-8822-1884,0000-0002-9348-9284
226512,Admission Weight (Kg),Admission Weight (Kg),General,kg,29463-7,Body weight,3025315,12764,0000-0001-8822-1884,0000-0002-9348-9284
226730,Height (cm),Height (cm),General,cm,8302-2,Body height,3036277,6429,0000-0001-8822-1884,0000-0002-9348-9284
226707,Height,Height,General,Inch,8302-2,Body height,3036277,6429,0000-0001-8822-1884,0000-0002-9348-9284
224359,QTc,QTc,Routine Vital Signs,sec,8636-3,Q-T interval corrected,3026258,299,0000-0001-8822-1884,0000-0002-9348-9284
226094,Orthostatic BPd sitting,Orthostatic BPd sitting,Routine Vital Signs,mmHg,8453-3,Diastolic blood pressure--sitting,3034703,70,0000-0001-8822-1884,0000-0002-9348-9284
224646,Orthostatic BPs sitting,Orthostatic BPs sitting,Routine Vital Signs,mmHg,8459-0,Systolic blood pressure--sitting,3018586,70,0000-0001-8822-1884,0000-0002-9348-9284
226096,Orthostatic BPd standing,Orthostatic BPd standing,Routine Vital Signs,mmHg,8454-1,Diastolic blood pressure--standing,3019962,67,0000-0001-8822-1884,0000-0002-9348-9284
223766,Orthostatic BPs standing,Orthostatic BPs standing,Routine Vital Signs,mmHg,8460-8,Systolic blood pressure--standing,3035856,67,0000-0001-8822-1884,0000-0002-9348-9284
224645,Orthostatic BPs lying,Orthostatic BPs lying,Routine Vital Signs,mmHg,8461-6,Systolic blood pressure--supine,3009395,66,0000-0001-8822-1884,0000-0002-9348-9284
226092,Orthostatic BPd lying,Orthostatic BPd lying,Routine Vital Signs,mmHg,8455-8,Diastolic blood pressure--supine,3013940,66,0000-0001-8822-1884,0000-0002-9348-9284
223765,Orthostatic HR sitting,Orthostatic HR sitting,Routine Vital Signs,bpm,69000-8,Heart rate --sitting,40771525,64,0000-0001-8822-1884,0000-0002-9348-9284
223764,Orthostatic HR lying,Orthostatic HR lying,Routine Vital Signs,bpm,68999-2,Heart rate --supine,40771524,63,0000-0001-8822-1884,0000-0002-9348-9284
224647,Orthostatic HR standing,Orthostatic HR standing,Routine Vital Signs,bpm,69001-6,Heart rate --standing,40771526,59,0000-0001-8822-1884,0000-0002-9348-9284
224643,Manual Blood Pressure Diastolic Left,Manual BPd L,Routine Vital Signs,mmHg,8462-4,Diastolic blood pressure,3012888,56,0000-0001-8822-1884,0000-0002-9348-9284
224167,Manual Blood Pressure Systolic Left,Manual BPs L,Routine Vital Signs,mmHg,8480-6,Systolic blood pressure,3004249,56,0000-0001-8822-1884,0000-0002-9348-9284
227243,Manual Blood Pressure Systolic Right,Manual BPs R,Routine Vital Signs,mmHg,8480-6,Systolic blood pressure,3004249,41,0000-0001-8822-1884,0000-0002-9348-9284
227242,Manual Blood Pressure Diastolic Right,Manual BPd R,Routine Vital Signs,mmHg,8462-4,Diastolic blood pressure,3012888,39,0000-0001-8822-1884,0000-0002-9348-9284
224192,Pulsus Paradoxus,Pulsus Paradoxus,Routine Vital Signs,None,8452-5,Systolic blood pressure.inspiration - expiration,3034464,15,0000-0001-8822-1884,0000-0002-9348-9284
220059,Pulmonary Artery Pressure systolic,PAPs,Hemodynamics,mmHg,8440-0,Pulmonary artery Systolic blood pressure,3005606,,0000-0001-8822-1884,0000-0002-9348-9284
220060,Pulmonary Artery Pressure diastolic,PAPd,Hemodynamics,mmHg,8385-7,Pulmonary artery Diastolic blood pressure,3017188,,0000-0001-8822-1884,0000-0002-9348-9284
220061,Pulmonary Artery Pressure mean,PAPm,Hemodynamics,mmHg,8414-5,Pulmonary artery Mean blood pressure,3028074,,0000-0001-8822-1884,0000-0002-9348-9284
